onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.217	1.901	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
9.649	1.904	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
12.05	2.009	4	4	0	NaN	NULL
14.577	2.009	4	4	5	28	TARGET
17.128	1.906	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
19.555	1.909	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
21.984	1.912	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
24.411	1.91	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
26.837	1.909	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
29.266	1.91200000000001	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
31.668	2.009	4	4	5	28	TARGET
34.198	2.009	4	4	0	NaN	NULL
36.726	2.00899999999999	4	4	0	NaN	NULL
39.278	1.90900000000001	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
41.702	1.90600000000001	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
44.131	1.91	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
46.559	1.908	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
48.962	2.01000000000001	4	4	5	28	TARGET
51.493	2.01000000000001	4	4	5	28	TARGET
54.05	1.911	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
56.476	1.905	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
58.879	2.009	4	4	0	NaN	NULL
61.43	1.90400000000001	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
63.855	1.90599999999999	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
66.286	1.911	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
68.714	1.908	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
71.119	2.00999999999999	4	4	0	NaN	NULL
73.678	1.911	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
76.083	2.00999999999999	4	4	5	28	TARGET
78.628	1.90000000000001	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
81.05	1.902	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
83.457	2.009	4	4	5	28	TARGET
86.015	1.90900000000001	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
88.443	1.905	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
90.848	2.00999999999999	4	4	0	NaN	NULL
93.408	1.911	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
95.84	1.90599999999999	6	5	2	NaN	M030_surprise_antim_anticars0001-0057_half.avi
98.247	2.009	6	5	5	28	TARGET
100.807	1.911	6	5	4	NaN	M030_surprise_cars0001-0057_half.avi
103.236	1.907	6	5	1	NaN	M030_surprise_anticars0001-0057_half.avi
105.633	2.009	6	5	0	NaN	NULL
108.191	1.90899999999999	6	5	3	NaN	M030_surprise_antimcars0001-0057_half.avi
110.619	1.90600000000001	6	5	3	NaN	M030_surprise_antimcars0001-0057_half.avi
113.025	2.00899999999999	6	5	5	28	TARGET
115.582	1.905	6	5	2	NaN	M030_surprise_antim_anticars0001-0057_half.avi
117.99	2.00999999999999	6	5	0	NaN	NULL
120.55	1.90899999999999	6	5	1	NaN	M030_surprise_anticars0001-0057_half.avi
122.976	1.90300000000002	6	5	4	NaN	M030_surprise_cars0001-0057_half.avi
125.409	1.90899999999999	6	5	4	NaN	M030_surprise_cars0001-0057_half.avi
127.816	2.00899999999999	6	5	0	NaN	NULL
130.351	2.00999999999999	6	5	5	28	TARGET
132.913	1.90799999999999	6	5	3	NaN	M030_surprise_antimcars0001-0057_half.avi
135.341	1.904	6	5	2	NaN	M030_surprise_antim_anticars0001-0057_half.avi
137.768	1.904	6	5	1	NaN	M030_surprise_anticars0001-0057_half.avi
140.198	1.90600000000001	6	5	1	NaN	M030_surprise_anticars0001-0057_half.avi
142.628	1.90600000000001	6	5	2	NaN	M030_surprise_antim_anticars0001-0057_half.avi
145.061	1.90700000000001	6	5	3	NaN	M030_surprise_antimcars0001-0057_half.avi
147.491	1.90600000000001	6	5	4	NaN	M030_surprise_cars0001-0057_half.avi
149.898	2.00999999999999	6	5	5	28	TARGET
152.437	2.01000000000002	6	5	0	NaN	NULL
154.974	2.00900000000001	6	5	0	NaN	NULL
157.536	1.90799999999999	6	5	2	NaN	M030_surprise_antim_anticars0001-0057_half.avi
159.97	1.90799999999999	6	5	4	NaN	M030_surprise_cars0001-0057_half.avi
162.401	1.905	6	5	3	NaN	M030_surprise_antimcars0001-0057_half.avi
164.832	1.90700000000001	6	5	1	NaN	M030_surprise_anticars0001-0057_half.avi
167.24	2.00999999999999	6	5	5	28	TARGET
169.78	2.00899999999999	6	5	5	28	TARGET
172.34	1.904	6	5	1	NaN	M030_surprise_anticars0001-0057_half.avi
174.771	1.90200000000002	6	5	3	NaN	M030_surprise_antimcars0001-0057_half.avi
177.184	2.00899999999999	6	5	0	NaN	NULL
179.743	1.90599999999998	6	5	4	NaN	M030_surprise_cars0001-0057_half.avi
182.176	1.90400000000002	6	5	2	NaN	M030_surprise_antim_anticars0001-0057_half.avi
184.591	2.00999999999999	2	3	5	28	TARGET
187.154	1.90699999999998	2	3	4	NaN	F028_fear_cars0001-0057_half.avi
189.588	1.90400000000002	2	3	1	NaN	F028_fear_anticars0001-0057_half.avi
192.025	1.905	2	3	3	NaN	F028_fear_antimcars0001-0057_half.avi
194.437	2.01000000000002	2	3	0	NaN	NULL
197.002	1.90799999999999	2	3	2	NaN	F028_fear_antim_anticars0001-0057_half.avi
199.436	1.90299999999999	2	3	2	NaN	F028_fear_antim_anticars0001-0057_half.avi
201.865	1.90000000000001	2	3	4	NaN	F028_fear_cars0001-0057_half.avi
204.279	2.00899999999999	2	3	5	28	TARGET
206.821	2.00899999999999	2	3	0	NaN	NULL
209.386	1.90699999999998	2	3	3	NaN	F028_fear_antimcars0001-0057_half.avi
211.821	1.90200000000002	2	3	1	NaN	F028_fear_anticars0001-0057_half.avi
214.255	1.90200000000002	2	3	1	NaN	F028_fear_anticars0001-0057_half.avi
216.658	2.00900000000001	2	3	0	NaN	NULL
219.223	1.90800000000002	2	3	4	NaN	F028_fear_cars0001-0057_half.avi
221.66	1.90400000000002	2	3	2	NaN	F028_fear_antim_anticars0001-0057_half.avi
224.075	2.00900000000001	2	3	5	28	TARGET
226.636	1.904	2	3	3	NaN	F028_fear_antimcars0001-0057_half.avi
229.071	1.90100000000001	2	3	3	NaN	F028_fear_antimcars0001-0057_half.avi
231.488	2.00899999999999	2	3	5	28	TARGET
234.051	1.904	2	3	2	NaN	F028_fear_antim_anticars0001-0057_half.avi
236.482	1.89499999999998	2	3	1	NaN	F028_fear_anticars0001-0057_half.avi
238.914	1.90100000000001	2	3	4	NaN	F028_fear_cars0001-0057_half.avi
241.331	2.00900000000001	2	3	0	NaN	NULL
243.875	2.00900000000001	2	3	0	NaN	NULL
246.417	2.00999999999999	2	3	5	28	TARGET
248.985	1.90800000000002	2	3	1	NaN	F028_fear_anticars0001-0057_half.avi
251.422	1.90300000000002	2	3	2	NaN	F028_fear_antim_anticars0001-0057_half.avi
253.854	1.90000000000003	2	3	3	NaN	F028_fear_antimcars0001-0057_half.avi
256.287	1.899	2	3	4	NaN	F028_fear_cars0001-0057_half.avi
258.705	1.89999999999998	2	3	4	NaN	F028_fear_cars0001-0057_half.avi
261.142	1.90199999999999	2	3	3	NaN	F028_fear_antimcars0001-0057_half.avi
263.575	1.89999999999998	2	3	2	NaN	F028_fear_antim_anticars0001-0057_half.avi
265.991	2.00899999999996	2	3	0	NaN	NULL
268.554	1.90200000000004	2	3	1	NaN	F028_fear_anticars0001-0057_half.avi
270.971	2.00900000000001	2	3	5	28	TARGET
