onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.207	2.00899999999999	4	3	5	28	TARGET
9.75799999999999	1.90700000000001	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
12.165	2.00999999999999	4	3	0	NaN	NULL
14.718	1.90900000000002	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
17.145	1.911	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
19.572	1.91	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
21.998	1.91000000000003	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
24.425	1.91	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
26.826	2.00999999999999	4	3	5	28	TARGET
29.381	1.90899999999999	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
31.81	1.911	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
34.212	2.00900000000001	4	3	0	NaN	NULL
36.74	2.00900000000001	4	3	0	NaN	NULL
39.29	1.90600000000001	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
41.718	1.91000000000003	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
44.146	1.90800000000002	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
46.549	2.00999999999999	4	3	5	28	TARGET
49.103	1.90700000000001	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
51.531	1.90899999999999	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
53.934	2.00999999999999	4	3	5	28	TARGET
56.491	1.91000000000003	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
58.896	2.00900000000001	4	3	0	NaN	NULL
61.45	1.90800000000002	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
63.875	1.904	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
66.299	1.904	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
68.702	2.00999999999999	4	3	5	28	TARGET
71.235	2.01000000000002	4	3	0	NaN	NULL
73.791	1.90799999999999	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
76.22	1.90799999999999	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
78.65	1.90899999999999	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
81.078	1.90299999999999	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
83.51	1.90800000000002	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
