onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.221	1.902	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
9.653	1.906	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
12.056	2.009	5	4	0	NaN	NULL
14.609	1.911	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
17.01	2.01	5	4	5	28	TARGET
19.568	1.912	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
21.996	1.907	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
24.423	1.909	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
26.852	1.91	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
29.252	2.01	5	4	5	28	TARGET
31.804	1.907	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
34.207	2.009	5	4	0	NaN	NULL
36.735	2.009	5	4	0	NaN	NULL
39.263	2.01	5	4	5	28	TARGET
41.816	1.906	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
44.242	1.908	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
46.669	1.90600000000001	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
49.096	1.907	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
51.523	1.908	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
53.952	1.90899999999999	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
56.38	1.90900000000001	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
58.782	2.00899999999999	5	4	0	NaN	NULL
61.335	1.908	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
63.74	2.00999999999999	5	4	5	28	TARGET
66.273	2.00999999999999	5	4	5	28	TARGET
68.83	1.90899999999999	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
71.234	2.009	5	4	0	NaN	NULL
73.789	1.907	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
76.215	1.905	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
78.647	1.911	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
81.077	1.90600000000001	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
83.489	1.90000000000001	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
85.921	1.90900000000001	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
88.327	2.01000000000001	5	4	5	28	TARGET
90.86	2.01000000000001	5	4	0	NaN	NULL
93.414	1.90299999999999	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
95.844	1.905	1	2	2	NaN	F024_disgust_antim_anticars0001-0057_half.avi
98.269	1.90300000000001	1	2	3	NaN	F024_disgust_antimcars0001-0057_half.avi
100.699	1.908	1	2	1	NaN	F024_disgust_anticars0001-0057_half.avi
103.107	2.01000000000001	1	2	0	NaN	NULL
105.641	2.01000000000001	1	2	5	28	TARGET
108.195	1.90300000000001	1	2	4	NaN	F024_disgust_cars0001-0057_half.avi
110.626	1.907	1	2	4	NaN	F024_disgust_cars0001-0057_half.avi
113.054	1.904	1	2	3	NaN	F024_disgust_antimcars0001-0057_half.avi
115.487	1.90799999999999	1	2	2	NaN	F024_disgust_antim_anticars0001-0057_half.avi
117.895	2.01000000000002	1	2	5	28	TARGET
120.432	2.00900000000001	1	2	0	NaN	NULL
122.989	1.905	1	2	1	NaN	F024_disgust_anticars0001-0057_half.avi
125.421	1.90699999999998	1	2	1	NaN	F024_disgust_anticars0001-0057_half.avi
127.83	2.00900000000001	1	2	5	28	TARGET
130.389	1.90800000000002	1	2	3	NaN	F024_disgust_antimcars0001-0057_half.avi
