onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.213	2.012	1	3	5	28	TARGET
9.791	1.909	1	3	2	NaN	F024_fear_antim_anticars0001-0057_half.avi
12.216	2.011	1	3	0	NaN	NULL
14.769	1.908	1	3	4	NaN	F024_fear_cars0001-0057_half.avi
17.197	1.91	1	3	3	NaN	F024_fear_antimcars0001-0057_half.avi
19.621	1.90499999999999	1	3	1	NaN	F024_fear_anticars0001-0057_half.avi
22.047	1.908	1	3	1	NaN	F024_fear_anticars0001-0057_half.avi
24.473	1.908	1	3	2	NaN	F024_fear_antim_anticars0001-0057_half.avi
26.876	2.01	1	3	5	28	TARGET
29.432	1.906	1	3	3	NaN	F024_fear_antimcars0001-0057_half.avi
31.862	1.91	1	3	4	NaN	F024_fear_cars0001-0057_half.avi
34.265	2.009	1	3	0	NaN	NULL
36.792	2.01000000000001	1	3	0	NaN	NULL
39.345	1.91	1	3	3	NaN	F024_fear_antimcars0001-0057_half.avi
41.773	1.90899999999999	1	3	2	NaN	F024_fear_antim_anticars0001-0057_half.avi
44.201	1.90900000000001	1	3	1	NaN	F024_fear_anticars0001-0057_half.avi
46.603	2.009	1	3	5	28	TARGET
49.159	1.90700000000001	1	3	4	NaN	F024_fear_cars0001-0057_half.avi
51.585	1.904	1	3	4	NaN	F024_fear_cars0001-0057_half.avi
53.986	2.01000000000001	1	3	5	28	TARGET
56.543	1.908	1	3	1	NaN	F024_fear_anticars0001-0057_half.avi
58.947	2.00999999999999	1	3	0	NaN	NULL
61.488	1.899	1	3	2	NaN	F024_fear_antim_anticars0001-0057_half.avi
63.915	1.90599999999999	1	3	3	NaN	F024_fear_antimcars0001-0057_half.avi
66.319	1.892	1	3	3	NaN	F024_fear_antimcars0001-0057_half.avi
68.723	2.009	1	3	5	28	TARGET
71.256	2.009	1	3	0	NaN	NULL
73.812	1.90900000000001	1	3	1	NaN	F024_fear_anticars0001-0057_half.avi
76.24	1.90600000000001	1	3	4	NaN	F024_fear_cars0001-0057_half.avi
78.665	1.902	1	3	2	NaN	F024_fear_antim_anticars0001-0057_half.avi
81.09	1.90499999999999	1	3	2	NaN	F024_fear_antim_anticars0001-0057_half.avi
83.515	1.90300000000001	1	3	4	NaN	F024_fear_cars0001-0057_half.avi
85.942	1.905	1	3	1	NaN	F024_fear_anticars0001-0057_half.avi
88.368	1.90299999999999	1	3	3	NaN	F024_fear_antimcars0001-0057_half.avi
90.774	2.009	1	3	0	NaN	NULL
93.297	2.009	1	3	5	28	TARGET
95.852	1.90199999999999	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
98.259	2.00999999999999	5	5	5	28	TARGET
100.815	1.905	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
103.244	1.90600000000002	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
105.648	2.00800000000001	5	5	0	NaN	NULL
108.199	1.90100000000001	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
110.625	1.90200000000002	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
113.031	2.00999999999999	5	5	5	28	TARGET
115.588	1.90400000000002	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
117.997	2.00900000000001	5	5	0	NaN	NULL
120.549	1.904	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
122.971	1.90000000000001	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
125.396	1.899	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
127.805	2.00999999999999	5	5	0	NaN	NULL
130.341	2.00999999999999	5	5	5	28	TARGET
