onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.23599999999999	1.386	2	1	NaN	'7'
8.753	1.382	2	1	NaN	'1'
10.264	1.38	2	1	NaN	'6'
11.771	1.381	2	1	NaN	'3'
13.279	1.38	2	1	NaN	'2'
14.786	1.381	2	1	NaN	'5'
16.292	1.382	2	1	28	'4_dot'
17.805	1.382	2	1	NaN	'8'
19.317	1.38	1	1	28	'5s_dot'
20.824	1.38	1	1	NaN	'8h'
22.332	1.38	1	1	NaN	'3h'
23.84	1.38	1	1	NaN	'4f'
25.347	1.378	1	1	28	'2d_dot'
26.852	1.379	1	1	NaN	'1d'
28.353	1.38	1	1	NaN	'6f'
29.858	1.38	1	1	NaN	'7s'
31.37	1.38	2	1	NaN	'1'
32.877	1.38	2	1	NaN	'4'
34.38	1.382	2	1	NaN	'2'
35.887	1.381	2	1	NaN	'6'
37.395	1.381	2	1	NaN	'7'
38.902	1.38	2	1	NaN	'8'
40.406	1.381	2	1	NaN	'5'
41.911	1.382	2	1	28	'3_dot'
43.418	1.379	1	1	NaN	'3h'
44.923	1.38	1	1	NaN	'5h'
46.429	1.38	1	1	28	'2s_dot'
47.935	1.38	1	1	NaN	'6d'
49.439	1.379	1	1	NaN	'8d'
50.94	1.379	1	1	NaN	'4f'
52.441	1.38	1	1	NaN	'7s'
53.946	1.379	1	1	28	'1f_dot'
55.455	1.382	2	1	28	'4_dot'
56.963	1.382	2	1	NaN	'1'
58.469	1.381	2	1	NaN	'8'
59.976	1.382	2	1	28	'6_dot'
61.483	1.381	2	1	28	'3_dot'
62.991	1.381	2	1	28	'5_dot'
64.496	1.382	2	1	NaN	'7'
66	1.382	2	1	NaN	'2'
67.565	1.375	1	0	28	'5f_dot'
69.097	1.375	1	0	28	'8s_dot'
70.621	1.375	1	0	NaN	'2h'
72.144	1.375	1	0	28	'4s_dot'
73.671	1.375	1	0	NaN	'3h'
75.188	1.375	1	0	NaN	'7f'
76.708	1.375	1	0	NaN	'6d'
78.237	1.375	1	0	28	'1d_dot'
79.742	1.38	1	1	NaN	'5s'
81.248	1.379	1	1	NaN	'6d'
82.753	1.38	1	1	NaN	'8f'
84.261	1.38	1	1	NaN	'2d'
85.764	1.378	1	1	28	'1f_dot'
87.268	1.38	1	1	NaN	'3s'
88.768	1.38	1	1	28	'4h_dot'
90.271	1.379	1	1	NaN	'7h'
91.794	1.375	2	0	28	'4_dot'
93.315	1.375	2	0	28	'3_dot'
94.833	1.375	2	0	NaN	'6'
96.356	1.375	2	0	NaN	'8'
97.882	1.375	2	0	NaN	'7'
99.401	1.375	2	0	NaN	'2'
100.92	1.375	2	0	NaN	'5'
102.445	1.375	2	0	28	'1_dot'
103.954	1.381	2	1	28	'6_dot'
105.458	1.382	2	1	NaN	'4'
106.967	1.382	2	1	NaN	'1'
108.474	1.382	2	1	28	'2_dot'
109.979	1.382	2	1	NaN	'7'
111.488	1.382	2	1	NaN	'8'
112.996	1.382	2	1	28	'3_dot'
114.503	1.381	2	1	NaN	'5'
116.033	1.375	2	0	28	'4_dot'
117.554	1.375	2	0	NaN	'5'
119.075	1.375	2	0	28	'8_dot'
120.597	1.375	2	0	NaN	'2'
122.121	1.375	2	0	NaN	'7'
123.64	1.375	2	0	28	'1_dot'
125.16	1.375	2	0	NaN	'3'
126.684	1.375	2	0	NaN	'6'
128.21	1.375	1	0	NaN	'7s'
129.728	1.375	1	0	28	'5h_dot'
131.253	1.375	1	0	28	'1s_dot'
132.774	1.375	1	0	NaN	'3h'
134.301	1.375	1	0	NaN	'4d'
135.818	1.375	1	0	NaN	'6f'
137.344	1.375	1	0	28	'2d_dot'
138.868	1.375	1	0	28	'8f_dot'
140.373	1.38	1	1	NaN	'6s'
141.878	1.379	1	1	28	'5f_dot'
143.382	1.379	1	1	28	'4h_dot'
144.887	1.38	1	1	NaN	'8f'
146.392	1.38	1	1	NaN	'1d'
147.898	1.38	1	1	NaN	'3d'
149.402	1.378	1	1	28	'2h_dot'
150.902	1.379	1	1	NaN	'7s'
152.427	1.375	2	0	NaN	'1'
153.951	1.375	2	0	NaN	'8'
155.468	1.375	2	0	NaN	'4'
156.987	1.375	2	0	NaN	'2'
158.513	1.375	2	0	28	'7_dot'
160.033	1.375	2	0	NaN	'6'
161.55	1.375	2	0	NaN	'5'
163.074	1.375	2	0	28	'3_dot'
164.598	1.375	1	0	28	'7s_dot'
166.115	1.375	1	0	NaN	'3h'
167.637	1.375	1	0	NaN	'4s'
169.163	1.375	1	0	28	'2d_dot'
170.679	1.375	1	0	NaN	'5d'
172.199	1.375	1	0	28	'8f_dot'
173.726	1.375	1	0	28	'6h_dot'
175.249	1.375	1	0	NaN	'1f'
176.767	1.375	1	0	NaN	'1d'
178.286	1.375	1	0	NaN	'2d'
179.812	1.375	1	0	28	'8f_dot'
181.335	1.375	1	0	NaN	'4s'
182.855	1.375	1	0	28	'7h_dot'
184.377	1.375	1	0	NaN	'3f'
185.903	1.375	1	0	28	'6h_dot'
187.423	1.375	1	0	NaN	'5s'
188.946	1.375	2	0	28	'1_dot'
190.467	1.375	2	0	28	'3_dot'
191.989	1.375	2	0	NaN	'4'
193.508	1.375	2	0	NaN	'2'
195.028	1.375	2	0	28	'7_dot'
196.553	1.375	2	0	NaN	'6'
198.076	1.375	2	0	28	'5_dot'
199.594	1.375	2	0	28	'8_dot'
