onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.241	1.384	2	1	NaN	'4'
8.765	1.382	2	1	NaN	'6'
10.278	1.381	2	1	28	'2_dot'
11.794	1.382	2	1	28	'7_dot'
13.302	1.382	2	1	28	'3_dot'
14.811	1.381	2	1	NaN	'8'
16.321	1.382	2	1	NaN	'5'
17.83	1.381	2	1	28	'1_dot'
19.457	1.375	1	0	28	'4s_dot'
20.984	1.375	1	0	28	'3f_dot'
22.514	1.375	1	0	NaN	'8s'
24.038	1.375	1	0	NaN	'1d'
25.563	1.375	1	0	NaN	'5h'
27.08	1.375	1	0	NaN	'2f'
28.602	1.375	1	0	NaN	'6d'
30.125	1.375	1	0	28	'7h_dot'
31.631	1.382	2	1	NaN	'7'
33.132	1.382	2	1	28	'6_dot'
34.643	1.382	2	1	NaN	'3'
36.152	1.381	2	1	28	'8_dot'
37.651	1.38	2	1	NaN	'5'
39.157	1.382	2	1	NaN	'4'
40.664	1.381	2	1	28	'1_dot'
42.173	1.381	2	1	NaN	'2'
43.675	1.382	2	1	NaN	'8'
45.182	1.382	2	1	NaN	'2'
46.69	1.381	2	1	NaN	'3'
48.188	1.381	2	1	NaN	'1'
49.691	1.382	2	1	NaN	'6'
51.2	1.382	2	1	28	'5_dot'
52.701	1.381	2	1	NaN	'4'
54.21	1.382	2	1	NaN	'7'
55.72	1.38	1	1	28	'6s_dot'
57.224	1.379	1	1	NaN	'3d'
58.726	1.38	1	1	NaN	'7h'
60.234	1.379	1	1	28	'8s_dot'
61.741	1.38	1	1	NaN	'5h'
63.248	1.379	1	1	NaN	'1f'
64.752	1.379	1	1	28	'2d_dot'
66.259	1.38	1	1	28	'4f_dot'
67.77	1.381	2	1	28	'5_dot'
69.276	1.381	2	1	NaN	'2'
70.783	1.382	2	1	28	'1_dot'
72.291	1.381	2	1	NaN	'7'
73.799	1.381	2	1	28	'6_dot'
75.306	1.382	2	1	NaN	'8'
76.814	1.382	2	1	NaN	'3'
78.323	1.381	2	1	NaN	'4'
79.856	1.375	2	0	NaN	'7'
81.375	1.375	2	0	28	'3_dot'
82.899	1.375	2	0	NaN	'1'
84.425	1.375	2	0	28	'8_dot'
85.955	1.375	2	0	28	'5_dot'
87.484	1.375	2	0	NaN	'4'
89.015	1.375	2	0	28	'2_dot'
90.545	1.375	2	0	NaN	'6'
92.054	1.38	1	1	NaN	'6d'
93.558	1.379	1	1	28	'1f_dot'
95.065	1.38	1	1	28	'5h_dot'
96.573	1.38	1	1	NaN	'3f'
98.078	1.379	1	1	28	'7s_dot'
99.58	1.379	1	1	NaN	'2d'
101.085	1.379	1	1	NaN	'8h'
102.59	1.379	1	1	NaN	'4s'
104.115	1.375	2	0	NaN	'3'
105.639	1.375	2	0	NaN	'7'
107.165	1.375	2	0	NaN	'1'
108.689	1.375	2	0	NaN	'8'
110.206	1.375	2	0	NaN	'4'
111.728	1.375	2	0	NaN	'5'
113.254	1.375	2	0	NaN	'6'
114.777	1.375	2	0	28	'2_dot'
116.299	1.375	1	0	NaN	'6f'
117.82	1.375	1	0	NaN	'1h'
119.344	1.375	1	0	NaN	'4f'
120.868	1.375	1	0	28	'3s_dot'
122.387	1.375	1	0	NaN	'8h'
123.909	1.375	1	0	28	'7s_dot'
125.435	1.375	1	0	NaN	'2d'
126.964	1.375	1	0	NaN	'5d'
128.49	1.375	1	0	28	'5s_dot'
130.009	1.375	1	0	NaN	'2f'
131.533	1.375	1	0	28	'6s_dot'
133.056	1.375	1	0	NaN	'4d'
134.582	1.375	1	0	NaN	'8h'
136.1	1.375	1	0	NaN	'7d'
137.618	1.375	1	0	NaN	'1f'
139.14	1.375	1	0	NaN	'3h'
140.66	1.375	2	0	28	'8_dot'
142.171	1.375	2	0	NaN	'1'
143.688	1.375	2	0	NaN	'3'
145.208	1.375	2	0	NaN	'7'
146.717	1.375	2	0	NaN	'2'
148.238	1.375	2	0	28	'4_dot'
149.76	1.375	2	0	NaN	'5'
151.281	1.375	2	0	NaN	'6'
152.789	1.38	1	1	NaN	'8f'
154.296	1.38	1	1	NaN	'3f'
155.802	1.379	1	1	28	'6h_dot'
157.308	1.379	1	1	NaN	'7s'
158.813	1.38	1	1	NaN	'5d'
160.32	1.379	1	1	NaN	'1s'
161.826	1.379	1	1	NaN	'2d'
163.331	1.38	1	1	NaN	'4h'
164.856	1.375	2	0	NaN	'3'
166.379	1.375	2	0	NaN	'5'
167.897	1.375	2	0	28	'7_dot'
169.417	1.375	2	0	NaN	'4'
170.944	1.375	2	0	28	'2_dot'
172.461	1.375	2	0	NaN	'8'
173.982	1.375	2	0	28	'1_dot'
175.504	1.375	2	0	NaN	'6'
177.027	1.375	1	0	NaN	'4s'
178.544	1.375	1	0	NaN	'5f'
180.066	1.375	1	0	NaN	'8h'
181.593	1.375	1	0	28	'6d_dot'
183.111	1.375	1	0	28	'3d_dot'
184.63	1.375	1	0	NaN	'7f'
186.143	1.375	1	0	NaN	'1s'
187.662	1.375	1	0	28	'2h_dot'
189.169	1.38	1	1	NaN	'8d'
190.676	1.38	1	1	NaN	'6f'
192.172	1.38	1	1	NaN	'4s'
193.68	1.38	1	1	28	'5s_dot'
195.184	1.38	1	1	28	'1d_dot'
196.684	1.38	1	1	28	'7h_dot'
198.19	1.38	1	1	NaN	'3h'
199.696	1.379	1	1	NaN	'2f'
