onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.207	2.011	5	2	5	28	TARGET
9.768	1.904	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
12.202	1.908	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
14.625	1.906	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
17.025	2.012	5	2	0	NaN	NULL
19.575	1.904	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
21.998	1.907	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
24.42	1.904	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
26.821	2.01	5	2	5	28	TARGET
29.352	2.01	5	2	0	NaN	NULL
31.904	1.907	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
34.324	1.90199999999999	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
36.749	1.906	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
39.15	2.009	5	2	0	NaN	NULL
41.701	1.906	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
44.128	1.909	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
46.531	2.009	5	2	5	28	TARGET
49.086	1.90900000000001	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
51.512	1.907	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
53.915	2.00999999999999	5	2	5	28	TARGET
56.472	1.908	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
58.898	1.90700000000001	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
61.321	1.90299999999999	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
63.725	2.009	5	2	0	NaN	NULL
66.255	2.00999999999999	5	2	0	NaN	NULL
68.786	2.01000000000001	5	2	5	28	TARGET
71.336	1.89999999999999	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
73.761	1.90300000000001	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
76.189	1.90700000000001	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
78.616	1.90599999999999	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
81.038	1.90299999999999	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
83.467	1.905	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
85.895	1.90700000000001	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
88.301	2.009	5	2	0	NaN	NULL
90.855	1.907	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
93.261	2.009	5	2	5	28	TARGET
95.819	1.905	2	2	4	NaN	F028_disgust_cars0001-0057_half.avi
98.227	2.01000000000001	2	2	5	28	TARGET
100.762	2.009	2	2	0	NaN	NULL
