onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.269	1.375	1	0	28	'8d_dot'
8.806	1.375	1	0	28	'5h_dot'
10.329	1.375	1	0	28	'2s'
11.855	1.376	1	0	NaN	'4h'
13.385	1.375	1	0	28	'6f_dot'
14.907	1.375	1	0	NaN	'1d'
16.433	1.375	1	0	NaN	'7f'
17.961	1.375	1	0	NaN	'3s'
19.493	1.375	1	0	NaN	'3d'
21.011	1.375	1	0	28	'4s_dot'
22.53	1.375	1	0	NaN	'5h'
24.055	1.375	1	0	28	'2h_dot'
25.581	1.375	1	0	NaN	'1f'
27.103	1.375	1	0	28	'7s_dot'
28.624	1.375	1	0	NaN	'8d'
30.146	1.375	1	0	NaN	'6f'
31.681	1.375	2	0	28	'2_dot'
33.206	1.375	2	0	28	'7_dot'
34.723	1.375	2	0	NaN	'4'
36.246	1.375	2	0	28	'8_dot'
37.769	1.375	2	0	28	'5_dot'
39.291	1.375	2	0	NaN	'3'
40.811	1.375	2	0	NaN	'6'
42.331	1.375	2	0	NaN	'1'
43.846	1.387	2	1	NaN	'8'
45.361	1.382	2	1	28	'5_dot'
46.865	1.382	2	1	NaN	'1'
48.373	1.382	2	1	NaN	'2'
49.881	1.381	2	1	NaN	'6'
51.39	1.381	2	1	NaN	'3'
52.894	1.381	2	1	NaN	'4'
54.398	1.382	2	1	28	'7_dot'
55.917	1.382	2	1	NaN	'1'
57.422	1.381	2	1	NaN	'8'
58.927	1.382	2	1	28	'4_dot'
60.436	1.382	2	1	28	'6_dot'
61.945	1.382	2	1	28	'5_dot'
63.453	1.382	2	1	NaN	'3'
64.963	1.38	2	1	NaN	'7'
66.47	1.381	2	1	NaN	'2'
68.003	1.375	2	0	28	'3_dot'
69.519	1.375	2	0	NaN	'7'
71.041	1.375	2	0	NaN	'2'
72.566	1.375	2	0	NaN	'4'
74.093	1.375	2	0	NaN	'6'
75.614	1.375	2	0	28	'8_dot'
77.133	1.375	2	0	NaN	'1'
78.657	1.375	2	0	28	'5_dot'
80.173	1.381	2	1	NaN	'7'
81.682	1.382	2	1	NaN	'4'
83.187	1.382	2	1	NaN	'3'
84.692	1.382	2	1	NaN	'2'
86.2	1.382	2	1	NaN	'1'
87.708	1.382	2	1	28	'5_dot'
89.216	1.382	2	1	28	'8_dot'
90.722	1.382	2	1	28	'6_dot'
92.252	1.375	2	0	NaN	'7'
93.778	1.375	2	0	NaN	'2'
95.304	1.375	2	0	NaN	'1'
96.834	1.375	2	0	NaN	'3'
98.359	1.375	2	0	28	'6_dot'
99.879	1.375	2	0	28	'5'
101.401	1.375	2	0	28	'4_dot'
102.928	1.375	2	0	28	'8_dot'
104.448	1.379	1	1	28	'3s_dot'
105.953	1.38	1	1	28	'4d_dot'
107.458	1.379	1	1	28	'7s_dot'
108.96	1.38	1	1	NaN	'6d'
110.464	1.38	1	1	NaN	'2f'
111.97	1.38	1	1	NaN	'8f'
113.476	1.38	1	1	NaN	'5h'
114.983	1.379	1	1	NaN	'1h'
116.519	1.375	2	0	NaN	'4'
118.045	1.375	2	0	28	'1_dot'
119.566	1.375	2	0	NaN	'7'
121.084	1.375	2	0	NaN	'3'
122.607	1.375	2	0	NaN	'6'
124.135	1.375	2	0	NaN	'8'
125.657	1.375	2	0	28	'2_dot'
127.175	1.375	2	0	NaN	'5'
128.693	1.382	2	1	NaN	'7'
130.199	1.381	2	1	NaN	'1'
131.707	1.381	2	1	NaN	'4'
133.217	1.381	2	1	NaN	'5'
134.724	1.381	2	1	NaN	'2'
136.231	1.382	2	1	NaN	'6'
137.739	1.382	2	1	NaN	'3'
139.248	1.382	2	1	NaN	'8'
140.77	1.38	1	1	28	'3f_dot'
142.277	1.379	1	1	NaN	'7d'
143.782	1.379	1	1	28	'6h_dot'
145.286	1.38	1	1	NaN	'1f'
146.792	1.379	1	1	28	'2s_dot'
148.297	1.38	1	1	28	'8h_dot'
149.804	1.379	1	1	28	'5d_dot'
151.311	1.379	1	1	NaN	'4s'
152.825	1.379	1	1	28	'4h_dot'
154.326	1.38	1	1	NaN	'2d'
155.833	1.38	1	1	28	'6f_dot'
157.338	1.38	1	1	NaN	'5d'
158.843	1.38	1	1	NaN	'1s'
160.35	1.379	1	1	NaN	'8f_dot'
161.853	1.38	1	1	NaN	'7s'
163.355	1.38	1	1	NaN	'3h'
164.883	1.375	1	0	NaN	'7d'
166.404	1.375	1	0	NaN	'6f'
167.926	1.375	1	0	28	'8d_dot'
169.444	1.375	1	0	NaN	'4f'
170.967	1.375	1	0	NaN	'1h'
172.491	1.375	1	0	28	'3s'
174.01	1.375	1	0	NaN	'5h_dot'
175.53	1.375	1	0	NaN	'2s'
177.062	1.375	1	0	NaN	'5s'
178.585	1.375	1	0	NaN	'6d'
180.102	1.375	1	0	NaN	'2s'
181.623	1.375	1	0	28	'4h_dot'
183.146	1.375	1	0	NaN	'8f'
184.664	1.375	1	0	NaN	'1d'
186.185	1.375	1	0	NaN	'7h'
187.71	1.375	1	0	28	'3f_dot'
189.229	1.38	1	1	NaN	'8d'
190.734	1.38	1	1	NaN	'4h'
192.241	1.38	1	1	NaN	'3s'
193.746	1.38	1	1	NaN	'6h'
195.252	1.38	1	1	NaN	'2d'
196.756	1.38	1	1	NaN	'5f'
198.263	1.38	1	1	28	'1s_dot'
199.764	1.38	1	1	NaN	'7f'
