onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.269	1.375	1	0	28	'8d_dot'
8.804	1.375	1	0	28	'5h_dot'
10.328	1.375	1	0	NaN	'2s'
11.856	1.375	1	0	NaN	'4h'
13.385	1.375	1	0	28	'6f_dot'
14.909	1.375	1	0	NaN	'1d'
16.435	1.375	1	0	NaN	'7f'
17.951	1.375	1	0	NaN	'3s'
19.477	1.375	1	0	NaN	'3d'
21	1.375	1	0	28	'4s_dot'
22.524	1.375	1	0	NaN	'5h'
24.043	1.375	1	0	28	'2h_dot'
25.561	1.375	1	0	NaN	'1f'
27.088	1.375	1	0	28	'7s_dot'
28.616	1.375	1	0	NaN	'8d'
30.136	1.375	1	0	NaN	'6f'
31.658	1.375	2	0	28	'2_dot'
33.18	1.375	2	0	28	'7_dot'
34.705	1.375	2	0	NaN	'4'
36.225	1.375	2	0	28	'8_dot'
37.746	1.375	2	0	28	'5_dot'
39.267	1.375	2	0	NaN	'3'
40.786	1.375	2	0	NaN	'6'
42.307	1.375	2	0	NaN	'1'
43.814	1.387	2	1	NaN	'8'
45.328	1.382	2	1	28	'5_dot'
46.838	1.382	2	1	NaN	'1'
48.347	1.382	2	1	NaN	'2'
49.854	1.382	2	1	NaN	'6'
51.363	1.382	2	1	NaN	'3'
52.866	1.381	2	1	NaN	'4'
54.374	1.382	2	1	28	'7_dot'
55.885	1.382	2	1	NaN	'1'
57.391	1.382	2	1	NaN	'8'
58.895	1.382	2	1	28	'4_dot'
60.399	1.382	2	1	28	'6_dot'
61.909	1.382	2	1	28	'5_dot'
63.417	1.382	2	1	NaN	'3'
64.923	1.381	2	1	NaN	'7'
66.426	1.382	2	1	NaN	'2'
67.95	1.375	2	0	28	'3_dot'
69.472	1.375	2	0	NaN	'7'
70.991	1.375	2	0	NaN	'2'
72.511	1.375	2	0	NaN	'4'
74.036	1.375	2	0	NaN	'6'
75.556	1.375	2	0	28	'8_dot'
77.074	1.375	2	0	NaN	'1'
78.599	1.375	2	0	28	'5_dot'
80.106	1.382	2	1	NaN	'7'
81.615	1.382	2	1	NaN	'4'
83.123	1.382	2	1	NaN	'3'
84.63	1.382	2	1	NaN	'2'
86.139	1.382	2	1	NaN	'1'
87.648	1.382	2	1	28	'5_dot'
89.154	1.382	2	1	28	'8_dot'
90.661	1.381	2	1	28	'6_dot'
92.19	1.375	2	0	NaN	'7'
93.714	1.375	2	0	NaN	'2'
95.23	1.375	2	0	NaN	'1'
96.75	1.375	2	0	NaN	'3'
98.276	1.375	2	0	28	'6_dot'
99.793	1.375	2	0	NaN	'5'
101.314	1.375	2	0	28	'4_dot'
102.839	1.375	2	0	28	'8_dot'
104.348	1.38	1	1	28	'3s_dot'
105.855	1.38	1	1	28	'4d_dot'
107.362	1.38	1	1	28	'7s_dot'
108.868	1.38	1	1	NaN	'6d'
110.375	1.38	1	1	NaN	'2f'
111.882	1.38	1	1	NaN	'8f'
113.389	1.38	1	1	NaN	'5h'
114.896	1.38	1	1	NaN	'1h'
116.425	1.375	2	0	NaN	'4'
117.943	1.375	2	0	28	'1_dot'
119.463	1.375	2	0	NaN	'7'
120.984	1.375	2	0	NaN	'3'
122.503	1.375	2	0	NaN	'6'
124.024	1.375	2	0	NaN	'8'
125.549	1.375	2	0	28	'2_dot'
127.067	1.375	2	0	NaN	'5'
128.579	1.382	2	1	NaN	'7'
130.085	1.381	2	1	NaN	'1'
131.593	1.382	2	1	NaN	'4'
133.102	1.382	2	1	NaN	'5'
134.61	1.382	2	1	NaN	'2'
136.115	1.381	2	1	NaN	'6'
137.618	1.381	2	1	NaN	'3'
139.126	1.382	2	1	NaN	'8'
140.641	1.38	1	1	28	'3f_dot'
142.147	1.38	1	1	NaN	'7d'
143.654	1.38	1	1	28	'6h_dot'
145.16	1.38	1	1	NaN	'1f'
146.666	1.38	1	1	28	'2s_dot'
148.174	1.38	1	1	28	'8h_dot'
149.682	1.379	1	1	28	'5d_dot'
151.188	1.38	1	1	NaN	'4s'
152.701	1.38	1	1	28	'4h_dot'
154.206	1.38	1	1	NaN	'2d'
155.714	1.38	1	1	28	'6f_dot'
157.219	1.38	1	1	NaN	'5d'
158.726	1.38	1	1	NaN	'1s'
160.233	1.38	1	1	28	'8f_dot'
161.737	1.38	1	1	NaN	'7s'
163.244	1.38	1	1	NaN	'3h'
164.766	1.375	1	0	NaN	'7d'
166.288	1.375	1	0	NaN	'6f'
167.806	1.375	1	0	28	'8d_dot'
169.325	1.375	1	0	NaN	'4f'
170.848	1.375	1	0	NaN	'1h'
172.366	1.375	1	0	NaN	'3s'
173.886	1.375	1	0	28	'5h_dot'
175.406	1.375	1	0	NaN	'2s'
176.937	1.375	1	0	NaN	'5s'
178.453	1.375	1	0	NaN	'6d'
179.973	1.375	1	0	NaN	'2s'
181.499	1.375	1	0	28	'4h_dot'
183.017	1.375	1	0	NaN	'8f'
184.535	1.375	1	0	NaN	'1d'
186.061	1.375	1	0	NaN	'7h'
187.587	1.375	1	0	28	'3f_dot'
189.091	1.38	1	1	NaN	'8d'
190.596	1.38	1	1	NaN	'4h'
192.1	1.38	1	1	NaN	'3s'
193.606	1.38	1	1	NaN	'6h'
195.112	1.38	1	1	NaN	'2d'
196.617	1.38	1	1	NaN	'5f'
198.125	1.38	1	1	28	'1s_dot'
199.627	1.38	1	1	NaN	'7f'
