onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.26800000000001	1.375	2	0	NaN	'2'
8.802	1.375	2	0	28	'8_dot'
10.323	1.375	2	0	NaN	'1'
11.847	1.375	2	0	NaN	'6'
13.372	1.375	2	0	NaN	'4'
14.892	1.375	2	0	28	'7_dot'
16.412	1.375	2	0	NaN	'3'
17.935	1.375	2	0	28	'5_dot'
19.465	1.375	2	0	28	'2_dot'
20.992	1.375	2	0	NaN	'7'
22.512	1.375	2	0	28	'6_dot'
24.03	1.375	2	0	NaN	'3'
25.555	1.375	2	0	NaN	'5'
27.073	1.375	2	0	NaN	'8'
28.591	1.375	2	0	NaN	'4'
30.116	1.375	2	0	NaN	'1'
31.623	1.385	1	1	28	'4f'
33.135	1.38	1	1	NaN	'3s'
34.643	1.379	1	1	NaN	'8f'
36.151	1.379	1	1	28	'2h_dot'
37.654	1.38	1	1	28	'5d_dot'
39.16	1.379	1	1	28	'1s_dot'
40.665	1.38	1	1	NaN	'6h'
42.171	1.38	1	1	NaN	'7d'
43.683	1.382	2	1	NaN	'6'
45.193	1.382	2	1	28	'8_dot'
46.701	1.381	2	1	NaN	'7'
48.207	1.381	2	1	28	'5_dot'
49.712	1.382	2	1	NaN	'3'
51.214	1.382	2	1	NaN	'2'
52.723	1.381	2	1	28	'4_dot'
54.232	1.381	2	1	NaN	'1'
55.767	1.375	1	0	28	'2d_dot'
57.285	1.375	1	0	NaN	'6h'
58.807	1.375	1	0	28	'8f_dot'
60.331	1.375	1	0	NaN	'5d'
61.859	1.375	1	0	28	'7s_dot'
63.387	1.375	1	0	NaN	'3s'
64.917	1.375	1	0	NaN	'4h'
66.446	1.375	1	0	28	'1f_dot'
67.978	1.375	2	0	28	'8_dot'
69.505	1.375	2	0	NaN	'2'
71.031	1.375	2	0	28	'6_dot'
72.55	1.375	2	0	NaN	'5'
74.072	1.375	2	0	28	'1_dot'
75.597	1.375	2	0	28	'3_dot'
77.123	1.375	2	0	NaN	'7'
78.644	1.375	2	0	NaN	'4'
80.167	1.375	2	0	NaN	'8'
81.692	1.375	2	0	28	'5_dot'
83.219	1.375	2	0	28	'6_dot'
84.745	1.375	2	0	NaN	'2'
86.274	1.375	2	0	NaN	'4'
87.793	1.375	2	0	NaN	'3'
89.314	1.375	2	0	NaN	'1'
90.837	1.375	2	0	NaN	'7'
92.367	1.375	1	0	28	'4h_dot'
93.893	1.375	1	0	NaN	'2f'
95.41	1.376	1	0	NaN	'1d'
96.93	1.375	1	0	NaN	'7s'
98.455	1.375	1	0	28	'6d_dot'
99.972	1.375	1	0	NaN	'5h'
101.491	1.375	1	0	NaN	'8f'
103.013	1.375	1	0	NaN	'3s'
104.521	1.381	2	1	28	'3_dot'
106.029	1.381	2	1	28	'4_dot'
107.536	1.381	2	1	28	'6_dot'
109.043	1.382	2	1	NaN	'7'
110.55	1.381	2	1	NaN	'5'
112.054	1.381	2	1	NaN	'2'
113.557	1.381	2	1	28	'8_dot'
115.065	1.382	2	1	NaN	'1'
116.578	1.382	2	1	28	'2_dot'
118.085	1.38	2	1	NaN	'3'
119.592	1.382	2	1	28	'4_dot'
121.1	1.382	2	1	NaN	'1'
122.607	1.382	2	1	NaN	'7'
124.112	1.382	2	1	NaN	'6'
125.62	1.382	2	1	28	'5_dot'
127.128	1.382	2	1	NaN	'8'
128.638	1.38	1	1	NaN	'8h'
130.142	1.38	1	1	NaN	'3s'
131.645	1.38	1	1	28	'6f_dot'
133.152	1.38	1	1	28	'4f_dot'
134.658	1.38	1	1	28	'5d_dot'
136.163	1.379	1	1	NaN	'7h'
137.666	1.38	1	1	28	'2s_dot'
139.171	1.379	1	1	NaN	'1d'
140.683	1.382	2	1	28	'6_dot'
142.19	1.382	2	1	NaN	'3'
143.697	1.382	2	1	28	'7_dot'
145.2	1.382	2	1	28	'5_dot'
146.704	1.382	2	1	NaN	'8'
148.213	1.382	2	1	NaN	'4'
149.721	1.381	2	1	28	'2_dot'
151.229	1.382	2	1	28	'1_dot'
152.755	1.375	1	0	NaN	'7h'
154.281	1.375	1	0	28	'8f_dot'
155.798	1.375	1	0	NaN	'6d'
157.319	1.375	1	0	NaN	'3s'
158.841	1.375	1	0	NaN	'2s'
160.359	1.375	1	0	28	'5d_dot'
161.879	1.375	1	0	NaN	'1h'
163.401	1.375	1	0	NaN	'4f'
164.92	1.375	1	0	NaN	'2d'
166.447	1.375	1	0	28	'4d_dot'
167.968	1.375	1	0	NaN	'1h'
169.49	1.375	1	0	NaN	'3f'
171.006	1.375	1	0	NaN	'6s'
172.525	1.375	1	0	NaN	'8h'
174.044	1.375	1	0	NaN	'7s'
175.562	1.375	1	0	NaN	'5f'
177.073	1.38	1	1	NaN	'4d'
178.577	1.38	1	1	NaN	'3s'
180.084	1.379	1	1	NaN	'2f'
181.588	1.379	1	1	28	'8d_dot'
183.09	1.379	1	1	28	'6s_dot'
184.593	1.38	1	1	NaN	'1f'
186.099	1.379	1	1	NaN	'7h'
187.603	1.38	1	1	28	'5h_dot'
189.115	1.379	1	1	28	'2f_dot'
190.62	1.38	1	1	NaN	'8d'
192.126	1.38	1	1	NaN	'1s'
193.632	1.378	1	1	NaN	'3d'
195.137	1.38	1	1	NaN	'7s'
196.642	1.38	1	1	NaN	'6f'
198.147	1.379	1	1	NaN	'5h'
199.653	1.38	1	1	NaN	'4h'
