onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.23100000000001	1.387	2	1	28	'3_dot'
8.75500000000001	1.382	2	1	NaN	'6'
10.268	1.382	2	1	NaN	'7'
11.774	1.382	2	1	28	'2_dot'
13.282	1.382	2	1	28	'8_dot'
14.792	1.382	2	1	NaN	'1'
16.3	1.382	2	1	NaN	'4'
17.808	1.382	2	1	NaN	'5'
19.318	1.382	2	1	NaN	'6'
20.827	1.382	2	1	NaN	'4'
22.334	1.382	2	1	28	'5_dot'
23.841	1.382	2	1	28	'3_dot'
25.35	1.382	2	1	28	'2_dot'
26.857	1.382	2	1	NaN	'8'
28.363	1.382	2	1	NaN	'1'
29.871	1.382	2	1	28	'7_dot'
31.385	1.379	1	1	NaN	'5h'
32.894	1.38	1	1	28	'7f_dot'
34.399	1.38	1	1	28	'8h_dot'
35.904	1.38	1	1	NaN	'1s'
37.411	1.38	1	1	NaN	'4d'
38.918	1.379	1	1	28	'6f_dot'
40.425	1.379	1	1	NaN	'2s'
41.929	1.38	1	1	NaN	'3d'
43.477	1.375	2	0	NaN	'3'
45.011	1.375	2	0	28	'5_dot'
46.54	1.375	2	0	28	'7_dot'
48.065	1.375	2	0	NaN	'8'
49.586	1.375	2	0	28	'4_dot'
51.106	1.375	2	0	NaN	'6'
52.629	1.375	2	0	28	'2_dot'
54.155	1.375	2	0	NaN	'1'
55.678	1.375	2	0	28	'4_dot'
57.198	1.375	2	0	28	'7_dot'
58.719	1.375	2	0	NaN	'6'
60.237	1.375	2	0	NaN	'3'
61.757	1.375	2	0	28	'2_dot'
63.281	1.375	2	0	28	'8_dot'
64.804	1.375	2	0	NaN	'1'
66.323	1.375	2	0	28	'5_dot'
67.845	1.375	1	0	NaN	'8s'
69.371	1.375	1	0	NaN	'3s'
70.897	1.375	1	0	NaN	'2f'
72.426	1.375	1	0	NaN	'6h'
73.943	1.375	1	0	NaN	'7f'
75.469	1.375	1	0	28	'5d_dot'
76.99	1.375	1	0	NaN	'4d'
78.514	1.375	1	0	NaN	'1h'
80.026	1.38	1	1	NaN	'8d'
81.531	1.38	1	1	28	'1h_dot'
83.038	1.38	1	1	28	'7d_dot'
84.545	1.38	1	1	NaN	'5f'
86.052	1.379	1	1	NaN	'6s'
87.556	1.38	1	1	28	'2s_dot'
89.061	1.38	1	1	NaN	'4h'
90.567	1.38	1	1	NaN	'3f'
92.08	1.38	1	1	28	'4h_dot'
93.586	1.38	1	1	28	'3d_dot'
95.093	1.38	1	1	28	'2d_dot'
96.598	1.38	1	1	NaN	'6h'
98.105	1.38	1	1	NaN	'7f'
99.61	1.38	1	1	28	'8s_dot'
101.116	1.38	1	1	NaN	'5s'
102.62	1.38	1	1	NaN	'1f'
104.148	1.375	1	0	28	'4s_dot'
105.672	1.375	1	0	NaN	'3f'
107.195	1.375	1	0	NaN	'5d'
108.713	1.375	1	0	28	'6s_dot'
110.238	1.375	1	0	28	'1f_dot'
111.76	1.375	1	0	NaN	'2h'
113.291	1.375	1	0	28	'7d_dot'
114.822	1.375	1	0	28	'8h_dot'
116.347	1.375	1	0	NaN	'1d'
117.875	1.375	1	0	NaN	'6s'
119.408	1.375	1	0	28	'4h_dot'
120.94	1.375	1	0	28	'7f_dot'
122.466	1.375	1	0	28	'5h'
123.984	1.375	1	0	NaN	'2f'
125.503	1.375	1	0	NaN	'8s'
127.029	1.375	1	0	28	'3d_dot'
128.559	1.375	1	0	28	'3h_dot'
130.08	1.375	1	0	NaN	'2s'
131.597	1.375	1	0	NaN	'6f'
133.117	1.375	1	0	NaN	'5d'
134.637	1.375	1	0	28	'4h_dot'
136.159	1.375	1	0	NaN	'7s'
137.681	1.375	1	0	NaN	'1d'
139.209	1.375	1	0	NaN	'8f'
140.718	1.382	2	1	NaN	'1'
142.228	1.382	2	1	NaN	'2'
143.737	1.382	2	1	NaN	'3'
145.244	1.382	2	1	NaN	'4'
146.751	1.382	2	1	28	'7_dot'
148.26	1.382	2	1	28	'8_dot'
149.769	1.382	2	1	NaN	'6'
151.278	1.382	2	1	NaN	'5'
152.789	1.382	2	1	NaN	'1'
154.297	1.382	2	1	NaN	'7'
155.804	1.382	2	1	28	'8_dot'
157.311	1.382	2	1	28	'5_dot'
158.82	1.382	2	1	NaN	'3'
160.328	1.382	2	1	NaN	'6'
161.836	1.382	2	1	NaN	'2'
163.343	1.382	2	1	NaN	'4'
164.856	1.38	1	1	NaN	'3f'
166.363	1.38	1	1	28	'5s_dot'
167.868	1.38	1	1	NaN	'6d'
169.373	1.38	1	1	28	'1h_dot'
170.88	1.38	1	1	NaN	'8s'
172.385	1.38	1	1	NaN	'2f'
173.891	1.38	1	1	28	'7d_dot'
175.396	1.38	1	1	28	'4h_dot'
176.924	1.375	2	0	28	'3_dot'
178.445	1.375	2	0	NaN	'7'
179.963	1.375	2	0	28	'1_dot'
181.484	1.375	2	0	28	'2_dot'
183.007	1.375	2	0	NaN	'5'
184.525	1.375	2	0	NaN	'8'
186.045	1.375	2	0	NaN	'4'
187.574	1.375	2	0	28	'6_dot'
189.099	1.375	2	0	NaN	'8'
190.625	1.375	2	0	NaN	'4'
192.143	1.375	2	0	NaN	'2'
193.662	1.375	2	0	NaN	'6'
195.187	1.375	2	0	NaN	'7'
196.704	1.375	2	0	NaN	'3'
198.223	1.375	2	0	NaN	'1'
199.737	1.375	2	0	NaN	'5'
