onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.227	1.387	2	1	28	'3_dot'
8.752	1.382	2	1	28	'6'
10.268	1.382	2	1	NaN	'7'
11.78	1.382	2	1	28	'2_dot'
13.289	1.382	2	1	28	'8_dot'
14.799	1.382	2	1	NaN	'1'
16.31	1.381	2	1	NaN	'4'
17.818	1.382	2	1	NaN	'5'
19.329	1.382	2	1	NaN	'6'
20.837	1.381	2	1	NaN	'4'
22.344	1.382	2	1	28	'5_dot'
23.852	1.382	2	1	28	'3_dot'
25.361	1.382	2	1	28	'2_dot'
26.869	1.382	2	1	NaN	'8'
28.378	1.382	2	1	NaN	'1'
29.883	1.381	2	1	28	'7_dot'
31.401	1.379	1	1	NaN	'5h'
32.91	1.38	1	1	28	'7f_dot'
34.412	1.38	1	1	28	'8h_dot'
35.913	1.38	1	1	NaN	'1s'
37.418	1.38	1	1	NaN	'4d'
38.925	1.38	1	1	28	'6f_dot'
40.432	1.38	1	1	NaN	'2s'
41.937	1.379	1	1	NaN	'3d'
43.49	1.375	2	0	NaN	'3'
45.014	1.375	2	0	28	'5_dot'
46.536	1.375	2	0	28	'7_dot'
48.055	1.375	2	0	NaN	'8'
49.576	1.375	2	0	28	'4_dot'
51.095	1.375	2	0	NaN	'6'
52.618	1.375	2	0	28	'2_dot'
54.141	1.375	2	0	NaN	'1'
55.667	1.375	2	0	28	'4_dot'
57.186	1.375	2	0	28	'7_dot'
58.706	1.375	2	0	NaN	'6'
60.225	1.376	2	0	NaN	'3'
61.746	1.375	2	0	28	'2_dot'
63.268	1.375	2	0	28	'8_dot'
64.793	1.375	2	0	NaN	'1'
66.312	1.375	2	0	28	'5_dot'
67.835	1.375	1	0	NaN	'8s'
69.356	1.375	1	0	NaN	'3s'
70.882	1.375	1	0	NaN	'2f'
72.4	1.375	1	0	NaN	'6h'
73.919	1.375	1	0	NaN	'7f'
75.443	1.375	1	0	28	'5d_dot'
76.962	1.375	1	0	NaN	'4d'
78.481	1.375	1	0	NaN	'1h'
79.995	1.38	1	1	NaN	'8d'
81.502	1.38	1	1	28	'1h_dot'
83.007	1.38	1	1	28	'7d_dot'
84.51	1.38	1	1	NaN	'5f'
86.013	1.38	1	1	NaN	'6s'
87.519	1.379	1	1	28	'2s_dot'
89.026	1.38	1	1	NaN	'4h'
90.532	1.38	1	1	NaN	'3f'
92.045	1.38	1	1	28	'4h_dot'
93.551	1.38	1	1	28	'3d_dot'
95.057	1.38	1	1	28	'2d_dot'
96.562	1.38	1	1	NaN	'6h'
98.067	1.38	1	1	NaN	'7f'
99.572	1.38	1	1	28	'8s_dot'
101.074	1.379	1	1	NaN	'5s'
102.579	1.38	1	1	NaN	'1f'
104.113	1.375	1	0	28	'4s_dot'
105.632	1.375	1	0	NaN	'3f'
107.156	1.375	1	0	NaN	'5d'
108.68	1.375	1	0	28	'6s_dot'
110.199	1.375	1	0	28	'1f_dot'
111.721	1.375	1	0	NaN	'2h'
113.248	1.375	1	0	28	'7d_dot'
114.776	1.375	1	0	28	'8h_dot'
116.309	1.375	1	0	NaN	'1d'
117.835	1.375	1	0	NaN	'6s'
119.367	1.375	1	0	28	'4h_dot'
120.898	1.375	1	0	28	'7f_dot'
122.426	1.375	1	0	NaN	'5h'
123.949	1.375	1	0	NaN	'2f'
125.468	1.375	1	0	NaN	'8s'
126.992	1.375	1	0	28	'3d_dot'
128.523	1.375	1	0	28	'3h_dot'
130.046	1.375	1	0	NaN	'2s'
131.565	1.375	1	0	NaN	'6f'
133.088	1.375	1	0	NaN	'5d'
134.612	1.375	1	0	28	'4h_dot'
136.136	1.375	1	0	NaN	'7s'
137.655	1.375	1	0	NaN	'1d'
139.175	1.375	1	0	NaN	'8f'
140.69	1.382	2	1	NaN	'1'
142.198	1.382	2	1	NaN	'2'
143.703	1.381	2	1	NaN	'3'
145.211	1.382	2	1	NaN	'4'
146.719	1.382	2	1	28	'7_dot'
148.225	1.382	2	1	28	'8_dot'
149.733	1.382	2	1	NaN	'6'
151.242	1.382	2	1	NaN	'5'
152.758	1.382	2	1	NaN	'1'
154.263	1.381	2	1	NaN	'7'
155.773	1.381	2	1	28	'8_dot'
157.282	1.381	2	1	28	'5_dot'
158.787	1.382	2	1	NaN	'3'
160.294	1.382	2	1	NaN	'6'
161.802	1.382	2	1	NaN	'2'
163.31	1.382	2	1	NaN	'4'
164.824	1.379	1	1	NaN	'3f'
166.329	1.38	1	1	28	'5s_dot'
167.836	1.38	1	1	NaN	'6d'
169.342	1.379	1	1	28	'1h_dot'
170.848	1.38	1	1	NaN	'8s'
172.354	1.38	1	1	NaN	'2f'
173.856	1.38	1	1	28	'7d_dot'
175.363	1.38	1	1	28	'4h_dot'
176.889	1.375	2	0	28	'3_dot'
178.405	1.375	2	0	NaN	'7'
179.925	1.375	2	0	28	'1_dot'
181.445	1.375	2	0	28	'2_dot'
182.97	1.375	2	0	NaN	'5'
184.498	1.375	2	0	NaN	'8'
186.026	1.375	2	0	NaN	'4'
187.557	1.375	2	0	28	'6_dot'
189.088	1.375	2	0	NaN	'8'
190.613	1.375	2	0	NaN	'4'
192.131	1.375	2	0	NaN	'2'
193.651	1.375	2	0	NaN	'6'
195.172	1.375	2	0	NaN	'7'
196.689	1.375	2	0	NaN	'3'
198.208	1.375	2	0	NaN	'1'
199.731	1.375	2	0	NaN	'5'
