onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.22	1.902	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
9.63	2.01	4	5	5	28	TARGET
12.189	1.91099999999999	4	5	2	NaN	M002_surprise_antim_anticars0001-0057_half.avi
14.59	2.009	4	5	0	NaN	NULL
17.14	1.908	4	5	3	NaN	M002_surprise_antimcars0001-0057_half.avi
19.569	1.912	4	5	4	NaN	M002_surprise_cars0001-0057_half.avi
21.993	1.906	4	5	4	NaN	M002_surprise_cars0001-0057_half.avi
24.393	2.01000000000001	4	5	5	28	TARGET
26.944	1.904	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
29.367	1.906	4	5	3	NaN	M002_surprise_antimcars0001-0057_half.avi
31.77	2.009	4	5	0	NaN	NULL
34.321	1.908	4	5	2	NaN	M002_surprise_antim_anticars0001-0057_half.avi
36.749	1.907	4	5	2	NaN	M002_surprise_antim_anticars0001-0057_half.avi
39.176	1.911	4	5	3	NaN	M002_surprise_antimcars0001-0057_half.avi
41.578	2.00999999999999	4	5	5	28	TARGET
44.135	1.91	4	5	4	NaN	M002_surprise_cars0001-0057_half.avi
46.562	1.90900000000001	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
48.965	2.009	4	5	0	NaN	NULL
51.493	2.01000000000001	4	5	0	NaN	NULL
54.049	1.91	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
56.478	1.91	4	5	4	NaN	M002_surprise_cars0001-0057_half.avi
58.905	1.90700000000001	4	5	2	NaN	M002_surprise_antim_anticars0001-0057_half.avi
61.31	2.00999999999999	4	5	5	28	TARGET
63.868	1.91	4	5	3	NaN	M002_surprise_antimcars0001-0057_half.avi
66.298	1.90900000000001	4	5	3	NaN	M002_surprise_antimcars0001-0057_half.avi
68.726	1.907	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
71.155	1.90900000000001	4	5	2	NaN	M002_surprise_antim_anticars0001-0057_half.avi
73.582	1.90599999999999	4	5	4	NaN	M002_surprise_cars0001-0057_half.avi
75.987	2.01000000000001	4	5	0	NaN	NULL
78.516	2.009	4	5	5	28	TARGET
81.047	2.01000000000001	4	5	5	28	TARGET
83.581	2.00999999999999	4	5	0	NaN	NULL
86.137	1.90700000000001	4	5	4	NaN	M002_surprise_cars0001-0057_half.avi
88.569	1.91000000000001	4	5	3	NaN	M002_surprise_antimcars0001-0057_half.avi
90.997	1.905	4	5	2	NaN	M002_surprise_antim_anticars0001-0057_half.avi
93.425	1.905	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
95.851	1.904	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
98.283	1.90900000000001	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
100.688	2.009	3	5	0	NaN	NULL
103.243	1.90600000000001	3	5	1	NaN	F036_surprise_anticars0001-0057_half.avi
105.65	2.00900000000001	3	5	5	28	TARGET
108.21	1.90900000000002	3	5	4	NaN	F036_surprise_cars0001-0057_half.avi
110.642	1.90799999999999	3	5	4	NaN	F036_surprise_cars0001-0057_half.avi
113.071	1.90600000000001	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
115.503	1.90899999999999	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
117.91	2.01000000000002	3	5	5	28	TARGET
120.469	1.905	3	5	1	NaN	F036_surprise_anticars0001-0057_half.avi
122.877	2.00900000000001	3	5	0	NaN	NULL
125.411	2.00900000000001	3	5	0	NaN	NULL
127.946	2.00900000000001	3	5	5	28	TARGET
130.503	1.905	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
132.933	1.905	3	5	4	NaN	F036_surprise_cars0001-0057_half.avi
135.366	1.90799999999999	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
137.798	1.90600000000001	3	5	1	NaN	F036_surprise_anticars0001-0057_half.avi
140.23	1.90600000000001	3	5	1	NaN	F036_surprise_anticars0001-0057_half.avi
142.663	1.90699999999998	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
145.093	1.90199999999999	3	5	4	NaN	F036_surprise_cars0001-0057_half.avi
147.504	2.00899999999999	3	5	0	NaN	NULL
150.061	1.90700000000001	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
152.47	2.01000000000002	3	5	5	28	TARGET
155.009	2.00999999999999	3	5	5	28	TARGET
157.571	1.90600000000001	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
159.982	2.00900000000001	3	5	0	NaN	NULL
162.54	1.90600000000001	3	5	4	NaN	F036_surprise_cars0001-0057_half.avi
164.974	1.90600000000001	3	5	1	NaN	F036_surprise_anticars0001-0057_half.avi
167.405	1.90700000000001	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
169.839	1.90600000000001	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
172.272	1.905	3	5	1	NaN	F036_surprise_anticars0001-0057_half.avi
174.702	1.90100000000001	3	5	4	NaN	F036_surprise_cars0001-0057_half.avi
177.115	2.00900000000001	3	5	5	28	TARGET
179.654	2.00900000000001	3	5	0	NaN	NULL
182.211	1.90299999999999	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
184.644	1.90299999999999	2	5	2	NaN	F028_surprise_antim_anticars0001-0057_half.avi
187.057	2.00999999999999	2	5	5	28	TARGET
189.615	1.899	2	5	4	NaN	F028_surprise_cars0001-0057_half.avi
192.041	1.90100000000001	2	5	1	NaN	F028_surprise_anticars0001-0057_half.avi
194.456	2.00899999999999	2	5	0	NaN	NULL
197.019	1.90800000000002	2	5	3	NaN	F028_surprise_antimcars0001-0057_half.avi
199.452	1.90100000000001	2	5	3	NaN	F028_surprise_antimcars0001-0057_half.avi
201.865	2.00999999999999	2	5	5	28	TARGET
204.429	1.90600000000001	2	5	2	NaN	F028_surprise_antim_anticars0001-0057_half.avi
206.842	2.00999999999999	2	5	0	NaN	NULL
209.407	1.90899999999999	2	5	1	NaN	F028_surprise_anticars0001-0057_half.avi
211.842	1.90299999999999	2	5	4	NaN	F028_surprise_cars0001-0057_half.avi
214.274	1.90100000000001	2	5	4	NaN	F028_surprise_cars0001-0057_half.avi
216.689	2.00999999999999	2	5	0	NaN	NULL
219.23	2.00999999999999	2	5	5	28	TARGET
221.794	1.905	2	5	3	NaN	F028_surprise_antimcars0001-0057_half.avi
224.229	1.905	2	5	2	NaN	F028_surprise_antim_anticars0001-0057_half.avi
226.664	1.90299999999999	2	5	1	NaN	F028_surprise_anticars0001-0057_half.avi
229.093	1.89699999999999	2	5	1	NaN	F028_surprise_anticars0001-0057_half.avi
231.525	1.89699999999999	2	5	2	NaN	F028_surprise_antim_anticars0001-0057_half.avi
233.955	1.899	2	5	3	NaN	F028_surprise_antimcars0001-0057_half.avi
236.388	1.89999999999998	2	5	4	NaN	F028_surprise_cars0001-0057_half.avi
238.803	2.00899999999996	2	5	5	28	TARGET
241.347	2.00900000000001	2	5	0	NaN	NULL
243.889	2.00999999999999	2	5	0	NaN	NULL
246.455	1.90600000000001	2	5	2	NaN	F028_surprise_antim_anticars0001-0057_half.avi
248.887	1.90100000000001	2	5	4	NaN	F028_surprise_cars0001-0057_half.avi
251.321	1.90100000000001	2	5	3	NaN	F028_surprise_antimcars0001-0057_half.avi
253.755	1.90000000000003	2	5	1	NaN	F028_surprise_anticars0001-0057_half.avi
256.172	2.00999999999999	2	5	5	28	TARGET
258.718	2.01000000000005	2	5	5	28	TARGET
261.283	1.90100000000001	2	5	1	NaN	F028_surprise_anticars0001-0057_half.avi
263.716	1.899	2	5	3	NaN	F028_surprise_antimcars0001-0057_half.avi
266.132	2.00899999999996	2	5	0	NaN	NULL
268.694	1.90100000000001	2	5	4	NaN	F028_surprise_cars0001-0057_half.avi
271.127	1.899	2	5	2	NaN	F028_surprise_antim_anticars0001-0057_half.avi
273.559	1.89800000000002	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
275.974	2.00900000000001	3	1	5	28	TARGET
278.519	2.00999999999999	3	1	0	NaN	NULL
281.08	1.89699999999999	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
283.515	1.90000000000003	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
285.947	1.89799999999997	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
288.382	1.89999999999998	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
290.797	2.00900000000001	3	1	5	28	TARGET
293.357	1.89999999999998	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
295.79	1.899	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
298.225	1.90199999999999	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
300.644	2.00899999999996	3	1	0	NaN	NULL
303.187	2.00900000000001	3	1	0	NaN	NULL
305.749	1.90000000000003	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
308.166	2.00899999999996	3	1	5	28	TARGET
310.728	1.89800000000002	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
313.161	1.899	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
315.597	1.90300000000002	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
318.035	1.90300000000002	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
320.471	1.90100000000001	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
322.902	1.89600000000002	3	1	1	28	F036_angry_anticars0001-0057_half.avi
325.323	2.00900000000001	3	1	0	NaN	NULL
327.871	2.00900000000001	3	1	5	28	TARGET
330.436	1.899	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
332.872	1.89799999999997	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
335.31	1.904	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
337.734	2.00900000000001	3	1	0	NaN	NULL
340.302	1.90200000000004	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
342.739	1.899	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
345.157	2.00900000000001	3	1	5	28	TARGET
347.705	2.00900000000001	3	1	5	28	TARGET
350.267	1.89799999999997	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
352.705	1.90100000000001	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
355.145	1.90100000000001	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
357.569	2.00900000000001	3	1	0	NaN	NULL
