onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.217	1.898	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
9.647	1.904	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
12.049	2.009	5	5	5	28	TARGET
14.602	1.909	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
17.003	2.009	5	5	0	NaN	NULL
19.556	1.91	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
21.982	1.908	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
24.408	1.909	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
26.83	1.906	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
29.231	2.01000000000001	5	5	0	NaN	NULL
31.784	1.909	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
34.186	2.009	5	5	5	28	TARGET
36.716	2.01000000000001	5	5	5	28	TARGET
39.247	2.01	5	5	0	NaN	NULL
41.797	1.906	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
44.226	1.90899999999999	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
46.655	1.91	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
49.082	1.90899999999999	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
51.509	1.908	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
53.94	1.911	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
56.37	1.90899999999999	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
58.775	2.009	5	5	5	28	TARGET
61.331	1.90900000000001	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
63.735	2.009	5	5	0	NaN	NULL
66.264	2.01000000000001	5	5	0	NaN	NULL
68.807	1.901	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
71.211	2.01000000000001	5	5	5	28	TARGET
73.767	1.907	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
76.195	1.908	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
78.624	1.907	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
81.052	1.90600000000001	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
83.483	1.91	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
85.911	1.905	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
88.317	2.009	5	5	0	NaN	NULL
90.848	2.01000000000001	5	5	5	28	TARGET
93.407	1.90900000000001	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
95.837	1.90600000000001	6	3	2	NaN	M030_fear_antim_anticars0001-0057_half.avi
98.261	1.904	6	3	4	NaN	M030_fear_cars0001-0057_half.avi
100.668	2.009	6	3	0	NaN	NULL
103.219	1.902	6	3	1	NaN	M030_fear_anticars0001-0057_half.avi
105.653	1.91000000000001	6	3	3	NaN	M030_fear_antimcars0001-0057_half.avi
108.061	2.00899999999999	6	3	5	28	TARGET
110.595	2.00999999999999	6	3	5	28	TARGET
113.152	1.90600000000001	6	3	4	NaN	M030_fear_cars0001-0057_half.avi
115.584	1.90699999999998	6	3	2	NaN	M030_fear_antim_anticars0001-0057_half.avi
118.016	1.90700000000001	6	3	3	NaN	M030_fear_antimcars0001-0057_half.avi
120.447	1.905	6	3	1	NaN	M030_fear_anticars0001-0057_half.avi
122.857	2.00899999999999	6	3	0	NaN	NULL
