onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.241	1.386	2	1	28	'7'
8.762	1.382	2	1	NaN	'1'
10.273	1.381	2	1	NaN	'6'
11.782	1.381	2	1	NaN	'3'
13.291	1.382	2	1	NaN	'2'
14.795	1.381	2	1	NaN	'5'
16.304	1.382	2	1	28	'4_dot'
17.814	1.382	2	1	NaN	'8'
19.332	1.38	1	1	28	'5s_dot'
20.839	1.38	1	1	NaN	'8h'
22.347	1.379	1	1	NaN	'3h'
23.854	1.38	1	1	NaN	'4f'
25.363	1.38	1	1	28	'2d_dot'
26.871	1.38	1	1	NaN	'1d'
28.379	1.38	1	1	NaN	'6f'
29.885	1.38	1	1	NaN	'7s'
31.398	1.382	2	1	NaN	'1'
32.906	1.382	2	1	NaN	'4'
34.412	1.381	2	1	NaN	'2'
35.919	1.382	2	1	NaN	'6'
37.429	1.382	2	1	NaN	'7'
38.936	1.382	2	1	NaN	'8'
40.442	1.382	2	1	NaN	'5'
41.948	1.382	2	1	28	'3_dot'
43.464	1.379	1	1	NaN	'3h'
44.971	1.38	1	1	NaN	'5h'
46.475	1.38	1	1	28	'2s_dot'
47.982	1.38	1	1	NaN	'6d'
49.489	1.379	1	1	NaN	'8d'
50.994	1.38	1	1	NaN	'4f'
52.498	1.38	1	1	NaN	'7s'
54.003	1.38	1	1	28	'1f_dot'
55.514	1.381	2	1	28	'4_dot'
57.021	1.382	2	1	NaN	'1'
58.53	1.382	2	1	NaN	'8'
60.037	1.382	2	1	28	'6_dot'
61.544	1.381	2	1	28	'3_dot'
63.052	1.382	2	1	28	'5_dot'
64.56	1.382	2	1	NaN	'7'
66.07	1.382	2	1	NaN	'2'
67.622	1.375	1	0	28	'5f_dot'
69.152	1.375	1	0	28	'8s_dot'
70.678	1.375	1	0	NaN	'2h'
72.205	1.375	1	0	28	'4s_dot'
73.722	1.375	1	0	NaN	'3h'
75.24	1.375	1	0	NaN	'7f'
76.763	1.375	1	0	NaN	'6d'
78.281	1.375	1	0	28	'1d_dot'
79.794	1.379	1	1	NaN	'5s'
81.299	1.38	1	1	NaN	'6d'
82.805	1.379	1	1	NaN	'8f'
84.309	1.38	1	1	NaN	'2d'
85.815	1.379	1	1	28	'1f_dot'
87.32	1.379	1	1	NaN	'3s'
88.825	1.38	1	1	28	'4h_dot'
90.33	1.379	1	1	NaN	'7h'
91.859	1.375	2	0	28	'4_dot'
93.383	1.375	2	0	28	'3_dot'
94.902	1.375	2	0	NaN	'6'
96.422	1.375	2	0	NaN	'8'
97.946	1.375	2	0	NaN	'7'
99.473	1.375	2	0	NaN	'2'
100.992	1.375	2	0	NaN	'5'
102.513	1.375	2	0	28	'1_dot'
104.03	1.382	2	1	28	'6_dot'
105.537	1.381	2	1	NaN	'4'
107.045	1.382	2	1	NaN	'1'
108.553	1.381	2	1	28	'2_dot'
110.059	1.383	2	1	NaN	'7'
111.567	1.382	2	1	NaN	'8'
113.076	1.381	2	1	28	'3_dot'
114.584	1.381	2	1	NaN	'5'
116.112	1.375	2	0	28	'4_dot'
117.633	1.375	2	0	NaN	'5'
119.16	1.375	2	0	28	'8_dot'
120.685	1.375	2	0	NaN	'2'
122.205	1.375	2	0	NaN	'7'
123.728	1.375	2	0	28	'1_dot'
125.25	1.375	2	0	NaN	'3'
126.778	1.375	2	0	NaN	'6'
128.308	1.375	1	0	NaN	'7s'
129.833	1.375	1	0	28	'5h_dot'
131.354	1.375	1	0	28	'1s_dot'
132.876	1.375	1	0	NaN	'3h'
134.399	1.375	1	0	NaN	'4d'
135.927	1.375	1	0	NaN	'6f'
137.451	1.375	1	0	28	'2d_dot'
138.973	1.375	1	0	28	'8f_dot'
140.488	1.38	1	1	NaN	'6s'
141.995	1.378	1	1	28	'5f_dot'
143.498	1.38	1	1	28	'4h_dot'
145.004	1.38	1	1	NaN	'8f'
146.511	1.38	1	1	NaN	'1d'
148.016	1.38	1	1	NaN	'3d'
149.52	1.379	1	1	28	'2h_dot'
151.025	1.379	1	1	NaN	'7s'
152.552	1.375	2	0	NaN	'1'
154.077	1.375	2	0	NaN	'8'
155.598	1.375	2	0	NaN	'4'
157.121	1.375	2	0	NaN	'2'
158.646	1.375	2	0	28	'7_dot'
160.169	1.375	2	0	NaN	'6'
161.694	1.375	2	0	NaN	'5'
163.215	1.375	2	0	28	'3_dot'
164.74	1.375	1	0	28	'7s_dot'
166.26	1.375	1	0	NaN	'3h'
167.782	1.375	1	0	NaN	'4s'
169.301	1.375	1	0	28	'2d_dot'
170.82	1.375	1	0	NaN	'5d'
172.347	1.375	1	0	28	'8f_dot'
173.867	1.375	1	0	28	'6h_dot'
175.384	1.375	1	0	NaN	'1f'
176.91	1.375	1	0	NaN	'1d'
178.434	1.375	1	0	NaN	'2d'
179.953	1.375	1	0	28	'8f_dot'
181.472	1.375	1	0	NaN	'4s'
182.998	1.375	1	0	28	'7h_dot'
184.513	1.375	1	0	NaN	'3f'
186.034	1.375	1	0	28	'6h_dot'
187.557	1.375	1	0	NaN	'5s'
189.085	1.375	2	0	28	'1_dot'
190.602	1.375	2	0	28	'3_dot'
192.118	1.375	2	0	NaN	'4'
193.645	1.375	2	0	NaN	'2'
195.164	1.375	2	0	28	'7_dot'
196.683	1.375	2	0	NaN	'6'
198.209	1.375	2	0	28	'5_dot'
199.735	1.375	2	0	28	'8_dot'
