onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.22	1.902	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
9.652	1.908	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
12.054	2.009	5	2	0	NaN	NULL
14.607	1.911	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
17.007	2.009	5	2	5	28	TARGET
19.561	1.907	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
21.985	1.907	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
24.411	1.909	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
26.835	1.907	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
29.236	2.01	5	2	5	28	TARGET
31.79	1.908	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
34.192	2.009	5	2	0	NaN	NULL
36.719	2.01000000000001	5	2	0	NaN	NULL
39.248	2.01	5	2	5	28	TARGET
41.805	1.91	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
44.233	1.91	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
46.663	1.911	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
49.091	1.911	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
51.523	1.91	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
53.952	1.91	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
56.383	1.911	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
58.787	2.009	5	2	0	NaN	NULL
61.339	1.90599999999999	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
63.744	2.01000000000001	5	2	5	28	TARGET
66.277	2.01000000000001	5	2	5	28	TARGET
68.83	1.904	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
71.235	2.009	5	2	0	NaN	NULL
73.788	1.90599999999999	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
76.219	1.90900000000001	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
78.647	1.907	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
81.08	1.91199999999999	5	2	4	NaN	M017_disgust_cars0001-0057_half.avi
83.508	1.90600000000001	5	2	3	NaN	M017_disgust_antimcars0001-0057_half.avi
85.938	1.90900000000001	5	2	2	NaN	M017_disgust_antim_anticars0001-0057_half.avi
88.344	2.00999999999999	5	2	5	28	TARGET
90.879	2.009	5	2	0	NaN	NULL
93.436	1.90900000000001	5	2	1	NaN	M017_disgust_anticars0001-0057_half.avi
95.872	1.91	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
98.278	2.00999999999999	5	4	5	28	TARGET
100.838	1.908	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
103.245	2.009	5	4	0	NaN	NULL
105.799	1.905	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
108.231	1.908	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
110.664	1.90899999999999	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
113.067	2.00800000000001	5	4	5	28	TARGET
115.622	1.90800000000002	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
118.054	1.90700000000001	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
120.463	2.00900000000001	5	4	0	NaN	NULL
123.022	1.90899999999999	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
125.452	1.90699999999998	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
127.886	1.90900000000002	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
130.293	2.00899999999999	5	4	5	28	TARGET
132.851	1.905	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
135.276	1.898	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
137.687	2.00899999999999	5	4	0	NaN	NULL
140.222	2.00999999999999	5	4	0	NaN	NULL
142.779	1.904	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
145.207	1.90100000000001	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
147.637	1.90200000000002	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
150.047	2.00900000000001	5	4	5	28	TARGET
152.608	1.90800000000002	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
155.039	1.90600000000001	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
157.468	1.905	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
159.901	1.90799999999999	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
162.335	1.90599999999998	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
164.747	2.00899999999999	5	4	0	NaN	NULL
167.283	2.00999999999999	5	4	5	28	TARGET
169.824	2.00899999999999	5	4	5	28	TARGET
172.364	2.00999999999999	5	4	0	NaN	NULL
174.927	1.90900000000002	5	4	1	NaN	M017_happy_anticars0001-0057_half.avi
177.361	1.905	5	4	4	NaN	M017_happy_cars0001-0057_half.avi
179.796	1.90600000000001	5	4	2	NaN	M017_happy_antim_anticars0001-0057_half.avi
182.23	1.905	5	4	3	NaN	M017_happy_antimcars0001-0057_half.avi
184.661	1.90000000000001	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
187.089	1.899	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
189.502	2.00899999999999	5	5	0	NaN	NULL
192.062	1.904	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
194.496	1.904	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
196.911	2.00900000000001	5	5	5	28	TARGET
199.451	2.01000000000002	5	5	5	28	TARGET
202.014	1.904	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
204.45	1.905	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
206.884	1.90099999999998	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
209.314	1.90000000000001	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
211.729	2.00899999999999	5	5	0	NaN	NULL
214.269	2.00899999999999	5	5	0	NaN	NULL
216.83	1.905	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
219.267	1.90800000000002	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
221.679	2.00900000000001	5	5	5	28	TARGET
224.239	1.90299999999999	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
226.676	1.90700000000001	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
229.112	1.90700000000001	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
231.546	1.904	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
233.963	2.01000000000002	5	5	5	28	TARGET
236.509	2.00899999999999	5	5	0	NaN	NULL
239.071	1.90299999999999	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
241.505	1.90100000000001	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
243.941	1.90299999999996	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
246.372	1.90000000000003	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
248.786	2.00900000000001	5	5	0	NaN	NULL
251.329	2.00999999999999	5	5	5	28	TARGET
253.889	1.90300000000002	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
256.322	1.899	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
258.755	1.89699999999999	5	5	4	NaN	M017_surprise_cars0001-0057_half.avi
261.188	1.899	5	5	1	NaN	M017_surprise_anticars0001-0057_half.avi
263.605	2.00899999999996	5	5	5	28	TARGET
266.163	1.90000000000003	5	5	3	NaN	M017_surprise_antimcars0001-0057_half.avi
268.58	2.00900000000001	5	5	0	NaN	NULL
271.144	1.904	5	5	2	NaN	M017_surprise_antim_anticars0001-0057_half.avi
273.573	1.892	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
276.008	1.899	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
278.425	2.00900000000001	4	3	0	NaN	NULL
280.971	2.00900000000001	4	3	5	28	TARGET
283.535	1.90199999999999	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
285.972	1.90000000000003	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
288.405	1.90100000000001	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
290.843	1.904	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
293.282	1.90199999999999	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
295.714	1.89699999999999	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
298.134	2.00900000000001	4	3	5	28	TARGET
300.683	2.00900000000001	4	3	0	NaN	NULL
303.23	2.00899999999996	4	3	0	NaN	NULL
305.795	1.90300000000002	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
308.23	1.89800000000002	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
310.662	1.899	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
313.095	1.89999999999998	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
315.513	2.01000000000005	4	3	5	28	TARGET
318.059	2.00899999999996	4	3	5	28	TARGET
320.621	1.89800000000002	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
323.055	1.90100000000001	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
325.473	2.00900000000001	4	3	0	NaN	NULL
328.033	1.899	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
330.47	1.90199999999999	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
332.909	1.90300000000002	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
335.349	1.90100000000001	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
337.769	2.00900000000001	4	3	0	NaN	NULL
340.328	1.89699999999999	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
342.748	2.00900000000001	4	3	5	28	TARGET
345.313	1.899	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
347.747	1.89999999999998	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
350.158	2.00900000000001	4	3	5	28	TARGET
352.719	1.899	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
355.157	1.90100000000001	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
357.581	2.00899999999996	4	3	0	NaN	NULL
360.152	1.90300000000002	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
362.59	1.89800000000002	2	3	1	NaN	F028_fear_anticars0001-0057_half.avi
365.024	1.899	2	3	4	NaN	F028_fear_cars0001-0057_half.avi
367.443	2.00900000000001	2	3	0	NaN	NULL
370.006	1.89999999999998	2	3	3	NaN	F028_fear_antimcars0001-0057_half.avi
372.432	2.00900000000001	2	3	5	NaN	TARGET
375.003	1.90300000000002	2	3	2	28	F028_fear_antim_anticars0001-0057_half.avi
377.442	1.899	2	3	2	NaN	F028_fear_antim_anticars0001-0057_half.avi
379.879	1.90099999999995	2	3	4	NaN	F028_fear_cars0001-0057_half.avi
382.323	1.90199999999999	2	3	1	NaN	F028_fear_anticars0001-0057_half.avi
384.746	2.00900000000001	2	3	5	28	TARGET
387.311	1.899	2	3	3	NaN	F028_fear_antimcars0001-0057_half.avi
389.732	2.00899999999996	2	3	0	NaN	NULL
392.28	2.00899999999996	2	3	0	NaN	NULL
394.828	2.00999999999999	2	3	5	28	TARGET
397.395	1.899	2	3	4	NaN	F028_fear_cars0001-0057_half.avi
399.831	1.89799999999997	2	3	2	NaN	F028_fear_antim_anticars0001-0057_half.avi
402.273	1.90199999999999	2	3	1	NaN	F028_fear_anticars0001-0057_half.avi
404.711	1.89699999999999	2	3	3	NaN	F028_fear_antimcars0001-0057_half.avi
407.15	1.90100000000001	2	3	3	NaN	F028_fear_antimcars0001-0057_half.avi
409.595	1.90199999999999	2	3	1	NaN	F028_fear_anticars0001-0057_half.avi
412.026	1.892	2	3	2	NaN	F028_fear_antim_anticars0001-0057_half.avi
414.448	2.00900000000001	2	3	0	NaN	NULL
417.012	1.899	2	3	4	NaN	F028_fear_cars0001-0057_half.avi
419.432	2.00900000000001	2	3	5	28	TARGET
421.981	2.00900000000001	2	3	5	28	TARGET
424.546	1.89999999999998	2	3	1	NaN	F028_fear_anticars0001-0057_half.avi
426.972	2.01000000000005	2	3	0	NaN	NULL
429.545	1.90100000000001	2	3	2	NaN	F028_fear_antim_anticars0001-0057_half.avi
431.977	1.89400000000001	2	3	3	NaN	F028_fear_antimcars0001-0057_half.avi
434.417	1.90000000000003	2	3	4	NaN	F028_fear_cars0001-0057_half.avi
436.862	1.90199999999999	2	3	4	NaN	F028_fear_cars0001-0057_half.avi
439.301	1.899	2	3	3	NaN	F028_fear_antimcars0001-0057_half.avi
441.737	1.89800000000002	2	3	2	NaN	F028_fear_antim_anticars0001-0057_half.avi
444.163	2.00999999999999	2	3	5	28	TARGET
446.72	2.00899999999996	2	3	0	NaN	NULL
449.285	1.89499999999998	2	3	1	NaN	F028_fear_anticars0001-0057_half.avi
451.719	1.89299999999997	5	1	4	NaN	M017_angry_cars0001-0057_half.avi
454.157	1.899	5	1	3	NaN	M017_angry_antimcars0001-0057_half.avi
456.581	2.00999999999999	5	1	0	NaN	NULL
459.155	1.90199999999999	5	1	2	NaN	M017_angry_antim_anticars0001-0057_half.avi
461.58	2.00900000000001	5	1	5	28	TARGET
464.148	1.89999999999998	5	1	1	NaN	M017_angry_anticars0001-0057_half.avi
466.595	1.90199999999999	5	1	1	NaN	M017_angry_anticars0001-0057_half.avi
469.034	1.89700000000005	5	1	3	NaN	M017_angry_antimcars0001-0057_half.avi
471.475	1.90199999999999	5	1	4	NaN	M017_angry_cars0001-0057_half.avi
473.902	2.00900000000001	5	1	5	28	TARGET
476.471	1.89800000000002	5	1	2	NaN	M017_angry_antim_anticars0001-0057_half.avi
478.896	2.00900000000001	5	1	0	NaN	NULL
481.446	2.00899999999996	5	1	0	NaN	NULL
483.997	2.00900000000001	5	1	5	28	TARGET
486.562	1.89800000000002	5	1	3	NaN	M017_angry_antimcars0001-0057_half.avi
489.001	1.89400000000001	5	1	1	NaN	M017_angry_anticars0001-0057_half.avi
491.444	1.89799999999997	5	1	4	NaN	M017_angry_cars0001-0057_half.avi
493.887	1.89599999999996	5	1	2	NaN	M017_angry_antim_anticars0001-0057_half.avi
496.327	1.89699999999999	5	1	2	NaN	M017_angry_antim_anticars0001-0057_half.avi
498.767	1.89800000000002	5	1	4	NaN	M017_angry_cars0001-0057_half.avi
501.21	1.89699999999993	5	1	1	NaN	M017_angry_anticars0001-0057_half.avi
503.638	2.00900000000001	5	1	0	NaN	NULL
506.203	1.89600000000007	5	1	3	NaN	M017_angry_antimcars0001-0057_half.avi
508.628	2.00999999999999	5	1	5	28	TARGET
511.184	2.00900000000001	5	1	5	28	TARGET
513.753	1.89300000000003	5	1	4	NaN	M017_angry_cars0001-0057_half.avi
516.179	2.00900000000001	5	1	0	NaN	NULL
518.746	1.899	5	1	1	NaN	M017_angry_anticars0001-0057_half.avi
521.193	1.899	5	1	2	NaN	M017_angry_antim_anticars0001-0057_half.avi
523.634	1.899	5	1	3	NaN	M017_angry_antimcars0001-0057_half.avi
526.079	1.90000000000009	5	1	3	NaN	M017_angry_antimcars0001-0057_half.avi
528.522	1.89800000000002	5	1	2	NaN	M017_angry_antim_anticars0001-0057_half.avi
530.965	1.90099999999995	5	1	1	NaN	M017_angry_anticars0001-0057_half.avi
533.396	2.00900000000001	5	1	5	28	TARGET
535.95	2.00900000000001	5	1	0	NaN	NULL
538.518	1.899	5	1	4	NaN	M017_angry_cars0001-0057_half.avi
