onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.23	1.386	2	1	NaN	'7'
8.75200000000002	1.382	2	1	NaN	'1'
10.259	1.382	2	1	NaN	'6'
11.769	1.382	2	1	NaN	'3'
13.279	1.381	2	1	NaN	'2'
14.784	1.382	2	1	NaN	'5'
16.293	1.382	2	1	28	'4_dot'
17.805	1.382	2	1	NaN	'8'
19.321	1.38	1	1	28	'5s_dot'
20.829	1.38	1	1	NaN	'8h'
22.336	1.38	1	1	NaN	'3h'
23.844	1.38	1	1	NaN	'4f'
25.349	1.38	1	1	28	'2d_dot'
26.857	1.38	1	1	NaN	'1d'
28.365	1.38	1	1	NaN	'6f'
29.871	1.379	1	1	NaN	'7s'
31.38	1.383	2	1	NaN	'1'
32.891	1.382	2	1	NaN	'4'
34.397	1.382	2	1	NaN	'2'
35.904	1.381	2	1	NaN	'6'
37.409	1.382	2	1	NaN	'7'
38.916	1.382	2	1	NaN	'8'
40.424	1.382	2	1	NaN	'5'
41.929	1.382	2	1	28	'3_dot'
43.445	1.38	1	1	28	'3h'
44.953	1.38	1	1	NaN	'5h'
46.459	1.379	1	1	28	'2s_dot'
47.964	1.38	1	1	NaN	'6d'
49.468	1.38	1	1	NaN	'8d'
50.974	1.38	1	1	NaN	'4f'
52.481	1.379	1	1	NaN	'7s'
53.985	1.38	1	1	28	'1f_dot'
55.497	1.382	2	1	28	'4_dot'
57.003	1.382	2	1	NaN	'1'
58.512	1.382	2	1	NaN	'8'
60.019	1.382	2	1	28	'6_dot'
61.526	1.382	2	1	28	'3_dot'
63.032	1.382	2	1	28	'5_dot'
64.541	1.382	2	1	NaN	'7'
66.048	1.382	2	1	NaN	'2'
67.608	1.375	1	0	28	'5f_dot'
69.142	1.375	1	0	28	'8s_dot'
70.67	1.375	1	0	NaN	'2h'
72.198	1.375	1	0	28	'4s_dot'
73.717	1.375	1	0	NaN	'3h'
75.234	1.375	1	0	NaN	'7f'
76.755	1.375	1	0	NaN	'6d'
78.288	1.375	1	0	28	'1d_dot'
79.798	1.379	1	1	NaN	'5s'
81.305	1.38	1	1	NaN	'6d'
82.811	1.38	1	1	NaN	'8f'
84.316	1.38	1	1	NaN	'2d'
85.821	1.38	1	1	28	'1f_dot'
87.325	1.38	1	1	NaN	'3s'
88.829	1.38	1	1	28	'4h_dot'
90.335	1.38	1	1	NaN	'7h'
91.86	1.375	2	0	28	'4_dot'
93.381	1.375	2	0	28	'3_dot'
94.905	1.375	2	0	NaN	'6'
96.422	1.375	2	0	NaN	'8'
97.943	1.375	2	0	NaN	'7'
99.468	1.375	2	0	NaN	'2'
100.988	1.375	2	0	NaN	'5'
102.508	1.375	2	0	28	'1_dot'
104.021	1.382	2	1	28	'6_dot'
105.528	1.382	2	1	NaN	'4'
107.036	1.382	2	1	NaN	'1'
108.544	1.382	2	1	28	'2_dot'
110.052	1.382	2	1	NaN	'7'
111.56	1.382	2	1	NaN	'8'
113.066	1.382	2	1	28	'3_dot'
114.575	1.381	2	1	NaN	'5'
116.103	1.375	2	0	28	'4_dot'
117.62	1.375	2	0	NaN	'5'
119.147	1.375	2	0	28	'8_dot'
120.666	1.375	2	0	NaN	'2'
122.184	1.375	2	0	NaN	'7'
123.709	1.375	2	0	28	'1_dot'
125.234	1.375	2	0	28	'3'
126.762	1.375	2	0	NaN	'6'
128.285	1.375	1	0	NaN	'7s'
129.808	1.375	1	0	28	'5h_dot'
131.335	1.375	1	0	28	'1s_dot'
132.855	1.375	1	0	NaN	'3h'
134.374	1.375	1	0	NaN	'4d'
135.893	1.375	1	0	NaN	'6f'
137.422	1.375	1	0	28	'2d_dot'
138.952	1.375	1	0	28	'8f_dot'
140.46	1.379	1	1	NaN	'6s'
141.966	1.38	1	1	28	'5f_dot'
143.473	1.379	1	1	28	'4h_dot'
144.976	1.38	1	1	NaN	'8f'
146.481	1.379	1	1	NaN	'1d'
147.985	1.379	1	1	NaN	'3d'
149.49	1.38	1	1	28	'2h_dot'
150.997	1.379	1	1	NaN	'7s'
152.522	1.375	2	0	NaN	'1'
154.041	1.375	2	0	NaN	'8'
155.563	1.375	2	0	NaN	'4'
157.079	1.375	2	0	NaN	'2'
158.601	1.375	2	0	28	'7_dot'
160.125	1.375	2	0	NaN	'6'
161.645	1.375	2	0	NaN	'5'
163.165	1.375	2	0	28	'3_dot'
164.692	1.375	1	0	28	'7s_dot'
166.209	1.375	1	0	NaN	'3h'
167.726	1.375	1	0	NaN	'4s'
169.249	1.375	1	0	28	'2d_dot'
170.773	1.375	1	0	NaN	'5d'
172.291	1.375	1	0	28	'8f_dot'
173.816	1.375	1	0	28	'6h_dot'
175.338	1.375	1	0	NaN	'1f'
176.86	1.375	1	0	NaN	'1d'
178.378	1.375	1	0	NaN	'2d'
179.9	1.375	1	0	28	'8f_dot'
181.426	1.375	1	0	NaN	'4s'
182.945	1.375	1	0	28	'7h_dot'
184.463	1.375	1	0	NaN	'3f'
185.986	1.375	1	0	28	'6h_dot'
187.502	1.375	1	0	NaN	'5s'
189.024	1.375	2	0	28	'1_dot'
190.549	1.375	2	0	28	'3_dot'
192.075	1.375	2	0	NaN	'4'
193.595	1.375	2	0	NaN	'2'
195.115	1.375	2	0	28	'7_dot'
196.638	1.375	2	0	NaN	'6'
198.164	1.375	2	0	28	'5_dot'
199.683	1.375	2	0	28	'8_dot'
