onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.217	1.898	6	5	1	NaN	M030_surprise_anticars0001-0057_half.avi
9.647	1.905	6	5	3	NaN	M030_surprise_antimcars0001-0057_half.avi
12.048	2.011	6	5	0	NaN	NULL
14.599	1.90899999999999	6	5	2	NaN	M030_surprise_antim_anticars0001-0057_half.avi
17.027	1.911	6	5	4	NaN	M030_surprise_cars0001-0057_half.avi
19.427	2.01000000000002	6	5	5	28	TARGET
21.958	2.00999999999999	6	5	5	28	TARGET
24.514	1.91	6	5	3	NaN	M030_surprise_antimcars0001-0057_half.avi
26.94	1.90700000000001	6	5	1	NaN	M030_surprise_anticars0001-0057_half.avi
29.367	1.91	6	5	4	NaN	M030_surprise_cars0001-0057_half.avi
31.795	1.90899999999999	6	5	2	NaN	M030_surprise_antim_anticars0001-0057_half.avi
34.197	2.00999999999999	6	5	0	NaN	NULL
36.726	2.00900000000001	6	5	0	NaN	NULL
39.279	1.90800000000002	6	5	4	NaN	M030_surprise_cars0001-0057_half.avi
41.704	1.90699999999998	6	5	3	NaN	M030_surprise_antimcars0001-0057_half.avi
44.107	2.00900000000001	6	5	5	28	TARGET
46.662	1.90899999999999	6	5	1	NaN	M030_surprise_anticars0001-0057_half.avi
49.085	1.904	6	5	2	NaN	M030_surprise_antim_anticars0001-0057_half.avi
51.515	1.90799999999999	6	5	2	NaN	M030_surprise_antim_anticars0001-0057_half.avi
53.941	1.90800000000002	6	5	1	NaN	M030_surprise_anticars0001-0057_half.avi
56.344	2.01000000000002	6	5	5	28	TARGET
58.876	2.00899999999999	6	5	0	NaN	NULL
61.429	1.90600000000001	6	5	3	NaN	M030_surprise_antimcars0001-0057_half.avi
63.853	1.90599999999998	6	5	4	NaN	M030_surprise_cars0001-0057_half.avi
66.282	1.90899999999999	6	5	4	NaN	M030_surprise_cars0001-0057_half.avi
68.711	1.91	6	5	1	NaN	M030_surprise_anticars0001-0057_half.avi
71.116	2.00899999999999	6	5	0	NaN	NULL
73.647	2.01000000000002	6	5	5	28	TARGET
76.201	1.90600000000001	6	5	2	NaN	M030_surprise_antim_anticars0001-0057_half.avi
78.632	1.90800000000002	6	5	3	NaN	M030_surprise_antimcars0001-0057_half.avi
81.056	1.90299999999999	6	5	3	NaN	M030_surprise_antimcars0001-0057_half.avi
83.487	1.90800000000002	6	5	2	NaN	M030_surprise_antim_anticars0001-0057_half.avi
85.893	2.00999999999999	6	5	5	28	TARGET
88.449	1.90600000000001	6	5	4	NaN	M030_surprise_cars0001-0057_half.avi
90.856	2.00900000000001	6	5	0	NaN	NULL
93.412	1.90700000000001	6	5	1	NaN	M030_surprise_anticars0001-0057_half.avi
95.842	1.905	5	3	2	NaN	M017_fear_antim_anticars0001-0057_half.avi
98.249	2.00900000000001	5	3	5	28	TARGET
100.807	1.90899999999999	5	3	4	NaN	M017_fear_cars0001-0057_half.avi
103.24	1.91	5	3	1	NaN	M017_fear_anticars0001-0057_half.avi
105.648	2.00900000000001	5	3	0	NaN	NULL
108.205	1.90599999999998	5	3	3	NaN	M017_fear_antimcars0001-0057_half.avi
110.636	1.90800000000002	5	3	3	NaN	M017_fear_antimcars0001-0057_half.avi
113.044	2.00999999999999	5	3	5	28	TARGET
115.603	1.90799999999999	5	3	2	NaN	M017_fear_antim_anticars0001-0057_half.avi
118.012	2.00900000000001	5	3	0	NaN	NULL
120.569	1.90700000000001	5	3	1	NaN	M017_fear_anticars0001-0057_half.avi
122.998	1.90299999999999	5	3	4	NaN	M017_fear_cars0001-0057_half.avi
125.428	1.90299999999999	5	3	4	NaN	M017_fear_cars0001-0057_half.avi
127.837	2.00900000000001	5	3	0	NaN	NULL
130.372	2.00999999999999	5	3	5	28	TARGET
132.926	1.90100000000001	5	3	3	NaN	M017_fear_antimcars0001-0057_half.avi
135.358	1.905	5	3	2	NaN	M017_fear_antim_anticars0001-0057_half.avi
137.787	1.90299999999999	5	3	1	NaN	M017_fear_anticars0001-0057_half.avi
140.217	1.90299999999999	5	3	1	NaN	M017_fear_anticars0001-0057_half.avi
142.643	1.90100000000001	5	3	2	NaN	M017_fear_antim_anticars0001-0057_half.avi
145.076	1.904	5	3	3	NaN	M017_fear_antimcars0001-0057_half.avi
147.507	1.90500000000003	5	3	4	NaN	M017_fear_cars0001-0057_half.avi
149.918	2.00999999999999	5	3	5	28	TARGET
152.454	2.00999999999999	5	3	0	NaN	NULL
154.992	2.00899999999996	5	3	0	NaN	NULL
157.549	1.90600000000001	5	3	2	NaN	M017_fear_antim_anticars0001-0057_half.avi
159.983	1.90699999999998	5	3	4	NaN	M017_fear_cars0001-0057_half.avi
162.414	1.90199999999999	5	3	3	NaN	M017_fear_antimcars0001-0057_half.avi
164.847	1.90499999999997	5	3	1	NaN	M017_fear_anticars0001-0057_half.avi
167.259	2.00900000000001	5	3	5	28	TARGET
169.796	2.00999999999999	5	3	5	28	TARGET
172.354	1.90199999999999	5	3	1	NaN	M017_fear_anticars0001-0057_half.avi
174.785	1.90199999999999	5	3	3	NaN	M017_fear_antimcars0001-0057_half.avi
177.195	2.00900000000001	5	3	0	NaN	NULL
179.756	1.90600000000001	5	3	4	NaN	M017_fear_cars0001-0057_half.avi
182.189	1.90199999999999	5	3	2	NaN	M017_fear_antim_anticars0001-0057_half.avi
184.62	1.90100000000001	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
187.051	1.90100000000001	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
189.464	2.00900000000001	3	1	0	NaN	NULL
192.026	1.90600000000001	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
194.46	1.90299999999996	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
196.874	2.00899999999996	3	1	5	28	TARGET
199.416	2.00900000000001	3	1	5	28	TARGET
201.977	1.904	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
204.415	1.90599999999995	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
206.847	1.90100000000001	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
209.274	1.89600000000002	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
211.689	2.00899999999996	3	1	0	NaN	NULL
214.229	2.00999999999999	3	1	0	NaN	NULL
216.795	1.90800000000002	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
219.231	1.904	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
221.646	2.00999999999999	3	1	5	28	TARGET
224.211	1.90700000000004	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
226.647	1.90300000000002	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
229.079	1.89999999999998	3	1	2	NaN	F036_angry_antim_anticars0001-0057_half.avi
231.511	1.89999999999998	3	1	1	NaN	F036_angry_anticars0001-0057_half.avi
233.927	2.00899999999996	3	1	5	28	TARGET
236.472	2.00900000000001	3	1	0	NaN	NULL
239.034	1.90300000000002	3	1	3	NaN	F036_angry_antimcars0001-0057_half.avi
241.463	1.89600000000002	3	1	4	NaN	F036_angry_cars0001-0057_half.avi
