onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.286	1.958	2	2	4	NaN	F028_disgust_cars0001-0057_half.avi
9.74	1.898	2	2	1	NaN	F028_disgust_anticars0001-0057_half.avi
12.173	1.907	2	2	2	NaN	F028_disgust_antim_anticars0001-0057_half.avi
14.575	2.012	2	2	0	NaN	NULL
17.106	2.012	2	2	5	28	TARGET
19.665	1.901	2	2	3	NaN	F028_disgust_antimcars0001-0057_half.avi
22.09	1.904	2	2	3	NaN	F028_disgust_antimcars0001-0057_half.avi
24.517	1.91	2	2	1	NaN	F028_disgust_anticars0001-0057_half.avi
26.944	1.90799999999999	2	2	4	NaN	F028_disgust_cars0001-0057_half.avi
29.346	2.01000000000001	2	2	5	28	TARGET
31.877	2.01	2	2	0	NaN	NULL
34.416	1.898	2	2	2	NaN	F028_disgust_antim_anticars0001-0057_half.avi
36.843	1.907	2	2	2	NaN	F028_disgust_antim_anticars0001-0057_half.avi
39.246	2.01	2	2	5	28	TARGET
41.803	1.908	2	2	1	NaN	F028_disgust_anticars0001-0057_half.avi
44.227	1.906	2	2	3	NaN	F028_disgust_antimcars0001-0057_half.avi
46.656	1.91	2	2	4	NaN	F028_disgust_cars0001-0057_half.avi
49.059	2.00999999999999	2	2	0	NaN	NULL
51.59	2.009	2	2	0	NaN	NULL
54.146	1.911	2	2	4	NaN	F028_disgust_cars0001-0057_half.avi
56.571	1.907	2	2	3	NaN	F028_disgust_antimcars0001-0057_half.avi
58.996	1.90299999999999	2	2	2	NaN	F028_disgust_antim_anticars0001-0057_half.avi
61.424	1.90900000000001	2	2	1	NaN	F028_disgust_anticars0001-0057_half.avi
63.829	2.01000000000001	2	2	5	28	TARGET
66.362	2.00999999999999	2	2	5	28	TARGET
68.903	1.89700000000001	2	2	4	NaN	F028_disgust_cars0001-0057_half.avi
71.328	1.902	2	2	2	NaN	F028_disgust_antim_anticars0001-0057_half.avi
73.755	1.90400000000001	2	2	3	NaN	F028_disgust_antimcars0001-0057_half.avi
76.158	2.01000000000001	2	2	0	NaN	NULL
78.693	1.896	2	2	1	NaN	F028_disgust_anticars0001-0057_half.avi
81.125	1.91	2	2	1	NaN	F028_disgust_anticars0001-0057_half.avi
83.532	2.00999999999999	2	2	0	NaN	NULL
86.087	1.907	2	2	3	NaN	F028_disgust_antimcars0001-0057_half.avi
88.494	2.01000000000001	2	2	5	28	TARGET
