onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.227	1.386	2	1	28	'3_dot'
8.74	1.382	2	1	NaN	'6'
10.252	1.382	2	1	NaN	'7'
11.762	1.382	2	1	28	'2_dot'
13.262	1.381	2	1	28	'8_dot'
14.769	1.382	2	1	NaN	'1'
16.275	1.382	2	1	NaN	'4'
17.786	1.382	2	1	NaN	'5'
19.292	1.382	2	1	NaN	'6'
20.801	1.382	2	1	NaN	'4'
22.31	1.382	2	1	28	'5_dot'
23.812	1.382	2	1	28	'3_dot'
25.322	1.382	2	1	28	'2_dot'
26.829	1.382	2	1	NaN	'8'
28.335	1.382	2	1	NaN	'1'
29.838	1.381	2	1	28	'7_dot'
31.351	1.38	1	1	NaN	'5h'
32.859	1.379	1	1	28	'7f_dot'
34.364	1.379	1	1	28	'8h_dot'
35.86	1.38	1	1	NaN	'1s'
37.366	1.38	1	1	NaN	'4d'
38.867	1.379	1	1	28	'6f_dot'
40.371	1.379	1	1	NaN	'2s'
41.869	1.38	1	1	NaN	'3d'
43.418	1.375	2	0	NaN	'3'
44.951	1.375	2	0	28	'5_dot'
46.478	1.375	2	0	28	'7_dot'
48.002	1.375	2	0	NaN	'8'
49.522	1.375	2	0	28	'4_dot'
51.042	1.375	2	0	NaN	'6'
52.569	1.375	2	0	28	'2_dot'
54.094	1.375	2	0	NaN	'1'
55.626	1.375	2	0	28	'4_dot'
57.154	1.375	2	0	28	'7_dot'
58.676	1.375	2	0	NaN	'6'
60.194	1.375	2	0	NaN	'3'
61.717	1.375	2	0	28	'2_dot'
63.236	1.375	2	0	28	'8_dot'
64.753	1.375	2	0	NaN	'1'
66.276	1.375	2	0	28	'5_dot'
67.804	1.375	1	0	NaN	'8s'
69.319	1.375	1	0	NaN	'3s'
70.84	1.375	1	0	NaN	'2f'
72.368	1.375	1	0	NaN	'6h'
73.891	1.375	1	0	NaN	'7f'
75.415	1.375	1	0	28	'5d_dot'
76.933	1.375	1	0	NaN	'4d'
78.455	1.375	1	0	NaN	'1h'
79.963	1.38	1	1	NaN	'8d'
81.468	1.379	1	1	28	'1h_dot'
82.975	1.38	1	1	28	'7d_dot'
84.482	1.38	1	1	NaN	'5f'
85.987	1.38	1	1	NaN	'6s'
87.493	1.38	1	1	28	'2s_dot'
88.994	1.38	1	1	NaN	'4h'
90.5	1.38	1	1	NaN	'3f'
92.011	1.38	1	1	28	'4h_dot'
93.517	1.38	1	1	28	'3d_dot'
95.023	1.38	1	1	28	'2d_dot'
96.53	1.38	1	1	NaN	'6h'
98.035	1.38	1	1	NaN	'7f'
99.541	1.38	1	1	28	'8s_dot'
101.047	1.38	1	1	NaN	'5s'
102.555	1.38	1	1	NaN	'1f'
104.078	1.375	1	0	28	'4s_dot'
105.602	1.375	1	0	NaN	'3f'
107.119	1.375	1	0	NaN	'5d'
108.642	1.375	1	0	28	'6s_dot'
110.171	1.375	1	0	28	'1f_dot'
111.697	1.375	1	0	NaN	'2h'
113.226	1.375	1	0	28	'7d_dot'
114.756	1.375	1	0	28	'8h_dot'
116.275	1.375	1	0	NaN	'1d'
117.796	1.375	1	0	NaN	'6s'
119.322	1.375	1	0	28	'4h_dot'
120.851	1.375	1	0	28	'7f_dot'
122.376	1.375	1	0	NaN	'5h'
123.901	1.375	1	0	NaN	'2f'
125.42	1.375	1	0	NaN	'8s'
126.941	1.375	1	0	28	'3d_dot'
128.471	1.375	1	0	28	'3h_dot'
129.997	1.375	1	0	NaN	'2s'
131.524	1.375	1	0	NaN	'6f'
133.043	1.375	1	0	NaN	'5d'
134.565	1.375	1	0	28	'4h_dot'
136.091	1.375	1	0	NaN	'7s'
137.616	1.375	1	0	NaN	'1d'
139.144	1.375	1	0	NaN	'8f'
140.656	1.382	2	1	NaN	'1'
142.166	1.382	2	1	NaN	'2'
143.674	1.382	2	1	NaN	'3'
145.181	1.381	2	1	NaN	'4'
146.688	1.382	2	1	28	'7_dot'
148.195	1.382	2	1	28	'8_dot'
149.704	1.382	2	1	NaN	'6'
151.212	1.381	2	1	NaN	'5'
152.717	1.382	2	1	NaN	'1'
154.225	1.382	2	1	NaN	'7'
155.734	1.382	2	1	28	'8_dot'
157.241	1.382	2	1	28	'5_dot'
158.747	1.382	2	1	NaN	'3'
160.255	1.381	2	1	NaN	'6'
161.761	1.382	2	1	NaN	'2'
163.261	1.382	2	1	NaN	'4'
164.775	1.379	1	1	NaN	'3f'
166.281	1.38	1	1	28	'5s_dot'
167.778	1.38	1	1	NaN	'6d'
169.285	1.38	1	1	28	'1h_dot'
170.793	1.379	1	1	NaN	'8s'
172.298	1.38	1	1	NaN	'2f'
173.793	1.38	1	1	28	'7d_dot'
175.301	1.38	1	1	28	'4h_dot'
176.83	1.375	2	0	28	'3_dot'
178.354	1.375	2	0	NaN	'7'
179.871	1.375	2	0	28	'1_dot'
181.392	1.375	2	0	28	'2_dot'
182.914	1.375	2	0	NaN	'5'
184.43	1.375	2	0	NaN	'8'
185.949	1.375	2	0	NaN	'4'
187.478	1.375	2	0	28	'6_dot'
189.006	1.375	2	0	NaN	'8'
190.532	1.375	2	0	NaN	'4'
192.052	1.375	2	0	NaN	'2'
193.572	1.375	2	0	NaN	'6'
195.097	1.375	2	0	NaN	'7'
196.616	1.375	2	0	NaN	'3'
198.134	1.375	2	0	NaN	'1'
199.654	1.375	2	0	NaN	'5'
