onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.29	1.96600000000001	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
9.74299999999998	1.89600000000002	3	5	4	NaN	F036_surprise_cars0001-0057_half.avi
12.151	2.01300000000001	3	5	5	28	TARGET
14.716	1.90299999999999	3	5	1	NaN	F036_surprise_anticars0001-0057_half.avi
17.132	1.90100000000001	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
19.534	2.011	3	5	0	NaN	NULL
22.062	2.00999999999999	3	5	0	NaN	NULL
24.617	1.91	3	5	4	NaN	F036_surprise_cars0001-0057_half.avi
27.044	1.90899999999999	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
29.47	1.90700000000001	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
31.897	1.90699999999998	3	5	1	NaN	F036_surprise_anticars0001-0057_half.avi
34.298	2.00999999999999	3	5	5	28	TARGET
36.835	2.00999999999999	3	5	5	28	TARGET
39.392	1.90700000000001	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
41.82	1.90799999999999	3	5	4	NaN	F036_surprise_cars0001-0057_half.avi
44.224	2.00899999999999	3	5	0	NaN	NULL
46.779	1.91	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
49.204	1.90599999999998	3	5	1	NaN	F036_surprise_anticars0001-0057_half.avi
51.627	1.904	3	5	1	NaN	F036_surprise_anticars0001-0057_half.avi
54.051	1.904	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
56.456	2.00899999999999	3	5	0	NaN	NULL
58.986	2.00999999999999	3	5	5	28	TARGET
61.543	1.90900000000002	3	5	4	NaN	F036_surprise_cars0001-0057_half.avi
63.967	1.905	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
66.396	1.90899999999999	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
68.822	1.905	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
71.227	2.00999999999999	3	5	5	28	TARGET
73.761	2.00900000000001	3	5	0	NaN	NULL
76.315	1.905	3	5	1	NaN	F036_surprise_anticars0001-0057_half.avi
78.743	1.90600000000001	3	5	4	NaN	F036_surprise_cars0001-0057_half.avi
81.174	1.91	3	5	4	NaN	F036_surprise_cars0001-0057_half.avi
83.6	1.90100000000001	3	5	1	NaN	F036_surprise_anticars0001-0057_half.avi
86.005	2.00900000000001	3	5	0	NaN	NULL
88.563	1.90899999999999	3	5	3	NaN	F036_surprise_antimcars0001-0057_half.avi
90.968	2.00999999999999	3	5	5	28	TARGET
93.524	1.90800000000002	3	5	2	NaN	F036_surprise_antim_anticars0001-0057_half.avi
95.958	1.90600000000001	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
98.384	1.904	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
100.79	1.893	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
103.196	2.01000000000002	4	3	0	NaN	NULL
105.73	2.00999999999999	4	3	5	28	TARGET
108.287	1.90300000000002	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
110.717	1.905	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
113.144	1.90400000000002	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
115.574	1.905	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
117.979	2.00999999999999	4	3	5	28	TARGET
120.516	2.00999999999999	4	3	0	NaN	NULL
123.071	1.904	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
125.5	1.90700000000001	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
127.908	2.00999999999999	4	3	5	28	TARGET
130.467	1.904	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
132.891	1.89699999999999	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
135.32	1.904	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
137.73	2.00900000000001	4	3	0	NaN	NULL
140.266	2.00999999999999	4	3	0	NaN	NULL
142.821	1.89999999999998	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
145.248	1.90000000000003	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
147.677	1.90199999999999	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
150.105	1.90100000000001	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
152.516	2.00999999999999	4	3	5	28	TARGET
155.056	2.01000000000005	4	3	5	28	TARGET
157.612	1.89999999999998	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
160.037	1.89499999999998	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
162.469	1.90500000000003	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
164.881	2.00899999999996	4	3	0	NaN	NULL
167.439	1.90499999999997	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
169.869	1.904	4	3	3	NaN	M002_fear_antimcars0001-0057_half.avi
172.281	2.00900000000001	4	3	0	NaN	NULL
174.837	1.90199999999999	4	3	4	NaN	M002_fear_cars0001-0057_half.avi
177.249	2.00899999999996	4	3	5	28	TARGET
179.81	1.904	4	3	1	NaN	M002_fear_anticars0001-0057_half.avi
182.243	1.904	4	3	2	NaN	M002_fear_antim_anticars0001-0057_half.avi
184.667	1.89800000000002	6	1	4	NaN	M030_angry_cars0001-0057_half.avi
187.079	2.00999999999999	6	1	5	28	TARGET
189.644	1.90800000000002	6	1	3	NaN	M030_angry_antimcars0001-0057_half.avi
192.074	1.899	6	1	1	NaN	M030_angry_anticars0001-0057_half.avi
194.489	2.00899999999996	6	1	0	NaN	NULL
197.048	1.90499999999997	6	1	2	NaN	M030_angry_antim_anticars0001-0057_half.avi
199.48	1.90400000000005	6	1	2	NaN	M030_angry_antim_anticars0001-0057_half.avi
201.891	2.00999999999999	6	1	5	28	TARGET
204.445	1.89799999999997	6	1	4	NaN	M030_angry_cars0001-0057_half.avi
206.859	2.00900000000001	6	1	0	NaN	NULL
209.419	1.90199999999999	6	1	1	NaN	M030_angry_anticars0001-0057_half.avi
211.847	1.899	6	1	3	NaN	M030_angry_antimcars0001-0057_half.avi
214.278	1.89799999999997	6	1	3	NaN	M030_angry_antimcars0001-0057_half.avi
216.692	2.00900000000001	6	1	0	NaN	NULL
219.233	2.00999999999999	6	1	5	28	TARGET
221.79	1.89599999999996	6	1	2	NaN	M030_angry_antim_anticars0001-0057_half.avi
224.213	1.89599999999996	6	1	4	NaN	M030_angry_cars0001-0057_half.avi
226.643	1.89699999999999	6	1	1	NaN	M030_angry_anticars0001-0057_half.avi
229.074	1.899	6	1	1	NaN	M030_angry_anticars0001-0057_half.avi
231.504	1.899	6	1	4	NaN	M030_angry_cars0001-0057_half.avi
233.931	1.89600000000002	6	1	2	NaN	M030_angry_antim_anticars0001-0057_half.avi
236.362	1.89699999999999	6	1	3	NaN	M030_angry_antimcars0001-0057_half.avi
238.779	2.00900000000001	6	1	5	28	TARGET
241.324	2.00900000000001	6	1	0	NaN	NULL
243.866	2.00900000000001	6	1	0	NaN	NULL
246.432	1.90899999999999	6	1	4	NaN	M030_angry_cars0001-0057_half.avi
248.868	1.90299999999996	6	1	3	NaN	M030_angry_antimcars0001-0057_half.avi
251.299	1.89399999999995	6	1	2	NaN	M030_angry_antim_anticars0001-0057_half.avi
253.722	1.89800000000002	6	1	1	NaN	M030_angry_anticars0001-0057_half.avi
256.138	2.00899999999996	6	1	5	28	TARGET
258.684	2.00999999999999	6	1	5	28	TARGET
261.255	1.90699999999998	6	1	1	NaN	M030_angry_anticars0001-0057_half.avi
263.69	1.90100000000001	6	1	2	NaN	M030_angry_antim_anticars0001-0057_half.avi
266.108	2.00999999999999	6	1	0	NaN	NULL
268.666	1.89500000000004	6	1	3	NaN	M030_angry_antimcars0001-0057_half.avi
271.1	1.899	6	1	4	NaN	M030_angry_cars0001-0057_half.avi
273.53	1.89400000000001	2	2	2	NaN	F028_disgust_antim_anticars0001-0057_half.avi
275.948	2.00900000000001	2	2	5	28	TARGET
278.509	1.90000000000003	2	2	4	NaN	F028_disgust_cars0001-0057_half.avi
280.946	1.90099999999995	2	2	1	NaN	F028_disgust_anticars0001-0057_half.avi
283.363	2.00900000000001	2	2	0	NaN	NULL
285.926	1.90000000000003	2	2	3	NaN	F028_disgust_antimcars0001-0057_half.avi
288.355	1.89700000000005	2	2	3	NaN	F028_disgust_antimcars0001-0057_half.avi
290.772	2.00900000000001	2	2	5	28	TARGET
293.33	1.89600000000002	2	2	2	NaN	F028_disgust_antim_anticars0001-0057_half.avi
295.749	2.00899999999996	2	2	0	NaN	NULL
298.309	1.89699999999999	2	2	1	NaN	F028_disgust_anticars0001-0057_half.avi
300.743	1.899	2	2	4	NaN	F028_disgust_cars0001-0057_half.avi
303.172	1.89499999999998	2	2	4	NaN	F028_disgust_cars0001-0057_half.avi
305.591	2.00900000000001	2	2	0	NaN	NULL
308.139	2.00900000000001	2	2	5	28	TARGET
310.699	1.89700000000005	2	2	3	NaN	F028_disgust_antimcars0001-0057_half.avi
313.134	1.89799999999997	2	2	2	NaN	F028_disgust_antim_anticars0001-0057_half.avi
315.567	1.89999999999998	2	2	1	NaN	F028_disgust_anticars0001-0057_half.avi
318.005	1.90199999999999	2	2	1	NaN	F028_disgust_anticars0001-0057_half.avi
320.445	1.90300000000002	2	2	2	NaN	F028_disgust_antim_anticars0001-0057_half.avi
322.881	1.89699999999999	2	2	3	NaN	F028_disgust_antimcars0001-0057_half.avi
325.318	1.89799999999997	2	2	4	NaN	F028_disgust_cars0001-0057_half.avi
327.735	2.00999999999999	2	2	5	28	TARGET
330.283	2.00900000000001	2	2	0	NaN	NULL
332.83	2.00900000000001	2	2	0	NaN	NULL
335.393	1.89799999999997	2	2	2	NaN	F028_disgust_antim_anticars0001-0057_half.avi
337.825	1.89500000000004	2	2	4	NaN	F028_disgust_cars0001-0057_half.avi
340.255	1.89400000000001	2	2	3	NaN	F028_disgust_antimcars0001-0057_half.avi
342.689	1.89899999999994	2	2	1	NaN	F028_disgust_anticars0001-0057_half.avi
345.108	2.00900000000001	2	2	5	28	TARGET
347.655	2.00899999999996	2	2	5	28	TARGET
350.214	1.89499999999998	2	2	1	NaN	F028_disgust_anticars0001-0057_half.avi
352.643	1.89400000000001	2	2	3	NaN	F028_disgust_antimcars0001-0057_half.avi
355.063	2.00900000000001	2	2	0	NaN	NULL
357.626	1.899	2	2	4	NaN	F028_disgust_cars0001-0057_half.avi
360.061	1.899	2	2	2	NaN	F028_disgust_antim_anticars0001-0057_half.avi
362.504	1.90100000000001	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
364.945	1.90000000000003	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
367.364	2.00899999999996	4	4	0	NaN	NULL
369.924	1.89499999999998	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
372.354	1.89499999999998	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
374.775	2.00899999999996	4	4	5	28	TARGET
377.324	2.00900000000001	4	4	5	28	TARGET
379.882	1.89699999999999	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
382.313	1.89400000000001	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
384.746	1.89500000000004	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
387.183	1.90100000000001	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
389.606	2.01000000000005	4	4	0	NaN	NULL
392.159	2.00900000000001	4	4	0	NaN	NULL
394.724	1.89499999999998	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
397.162	1.899	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
399.584	2.00900000000001	4	4	5	28	TARGET
402.144	1.89400000000001	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
404.577	1.89599999999996	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
407.013	1.899	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
409.456	1.90099999999995	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
411.881	2.00900000000001	4	4	5	28	TARGET
414.432	2.00900000000001	4	4	0	NaN	NULL
416.991	1.89400000000001	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
419.429	1.89799999999991	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
421.861	1.89599999999996	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
424.299	1.90200000000004	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
426.726	2.0089999999999	4	4	0	NaN	NULL
429.279	2.0089999999999	4	4	5	28	TARGET
431.846	1.89599999999996	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
434.28	1.89700000000005	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
436.724	1.90300000000002	4	4	4	NaN	M002_happy_cars0001-0057_half.avi
439.165	1.89700000000005	4	4	1	NaN	M002_happy_anticars0001-0057_half.avi
441.586	2.00900000000001	4	4	5	28	TARGET
444.149	1.89699999999993	4	4	3	NaN	M002_happy_antimcars0001-0057_half.avi
446.571	2.00900000000001	4	4	0	NaN	NULL
449.133	1.89699999999993	4	4	2	NaN	M002_happy_antim_anticars0001-0057_half.avi
451.579	1.90100000000007	3	2	3	NaN	F036_disgust_antimcars0001-0057_half.avi
454.003	2.00900000000001	3	2	5	28	TARGET
456.571	1.89999999999998	3	2	2	NaN	F036_disgust_antim_anticars0001-0057_half.avi
458.994	2.00900000000001	3	2	0	NaN	NULL
