onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.231	1.386	2	1	28	'3_dot'
8.755	1.382	2	1	NaN	'6'
10.27	1.382	2	1	NaN	'7'
11.777	1.381	2	1	28	'2_dot'
13.281	1.381	2	1	28	'8_dot'
14.789	1.382	2	1	NaN	'1'
16.3	1.381	2	1	NaN	'4'
17.805	1.382	2	1	NaN	'5'
19.317	1.381	2	1	NaN	'6'
20.825	1.381	2	1	NaN	'4'
22.331	1.382	2	1	28	'5_dot'
23.838	1.382	2	1	28	'3_dot'
25.347	1.382	2	1	28	'2_dot'
26.855	1.382	2	1	NaN	'8'
28.363	1.382	2	1	NaN	'1'
29.869	1.381	2	1	28	'7_dot'
31.378	1.38	1	1	NaN	'5h'
32.889	1.38	1	1	28	'7f_dot'
34.396	1.38	1	1	28	'8h_dot'
35.9	1.38	1	1	NaN	'1s'
37.407	1.381	1	1	NaN	'4d'
38.916	1.38	1	1	28	'6f_dot'
40.422	1.38	1	1	NaN	'2s'
41.927	1.38	1	1	NaN	'3d'
43.476	1.375	2	0	NaN	'3'
45.003	1.375	2	0	28	'5_dot'
46.525	1.375	2	0	28	'7_dot'
48.046	1.375	2	0	NaN	'8'
49.57	1.375	2	0	28	'4_dot'
51.091	1.375	2	0	NaN	'6'
52.611	1.375	2	0	28	'2_dot'
54.133	1.375	2	0	NaN	'1'
55.663	1.375	2	0	28	'4_dot'
57.189	1.375	2	0	28	'7_dot'
58.707	1.375	2	0	NaN	'6'
60.227	1.375	2	0	NaN	'3'
61.753	1.375	2	0	28	'2_dot'
63.281	1.375	2	0	28	'8_dot'
64.802	1.375	2	0	NaN	'1'
66.321	1.375	2	0	28	'5_dot'
67.846	1.375	1	0	NaN	'8s'
69.372	1.375	1	0	NaN	'3s'
70.898	1.375	1	0	NaN	'2f'
72.42	1.375	1	0	NaN	'6h'
73.94	1.375	1	0	NaN	'7f'
75.464	1.375	1	0	28	'5d_dot'
76.987	1.375	1	0	NaN	'4d'
78.503	1.375	1	0	NaN	'1h'
80.01	1.379	1	1	NaN	'8d'
81.516	1.378	1	1	28	'1h_dot'
83.02	1.38	1	1	28	'7d_dot'
84.528	1.38	1	1	NaN	'5f'
86.032	1.38	1	1	NaN	'6s'
87.538	1.38	1	1	28	'2s_dot'
89.043	1.38	1	1	NaN	'4h'
90.549	1.38	1	1	NaN	'3f'
92.058	1.379	1	1	28	'4h_dot'
93.562	1.38	1	1	28	'3d_dot'
95.068	1.38	1	1	28	'2d_dot'
96.575	1.38	1	1	NaN	'6h'
98.08	1.38	1	1	NaN	'7f'
99.585	1.38	1	1	28	'8s_dot'
101.091	1.379	1	1	NaN	'5s'
102.596	1.379	1	1	NaN	'1f'
104.12	1.375	1	0	28	'4s_dot'
105.644	1.375	1	0	NaN	'3f'
107.167	1.375	1	0	NaN	'5d'
108.686	1.375	1	0	28	'6s_dot'
110.212	1.375	1	0	28	'1f_dot'
111.734	1.376	1	0	NaN	'2h'
113.261	1.375	1	0	28	'7d_dot'
114.789	1.375	1	0	28	'8h_dot'
116.309	1.375	1	0	NaN	'1d'
117.83	1.375	1	0	NaN	'6s'
119.354	1.375	1	0	28	'4h_dot'
120.883	1.375	1	0	28	'7f_dot'
122.407	1.375	1	0	NaN	'5h'
123.923	1.375	1	0	NaN	'2f'
125.443	1.375	1	0	NaN	'8s'
126.97	1.375	1	0	28	'3d_dot'
128.503	1.375	1	0	28	'3h_dot'
130.023	1.375	1	0	NaN	'2s'
131.541	1.375	1	0	NaN	'6f'
133.064	1.375	1	0	NaN	'5d'
134.589	1.375	1	0	28	'4h_dot'
136.11	1.375	1	0	NaN	'7s'
137.628	1.375	1	0	NaN	'1d'
139.154	1.375	1	0	NaN	'8f'
140.658	1.381	2	1	NaN	'1'
142.162	1.381	2	1	NaN	'2'
143.669	1.382	2	1	NaN	'3'
145.176	1.382	2	1	NaN	'4'
146.682	1.382	2	1	28	'7_dot'
148.188	1.382	2	1	28	'8_dot'
149.693	1.382	2	1	NaN	'6'
151.201	1.381	2	1	NaN	'5'
152.711	1.382	2	1	NaN	'1'
154.216	1.38	2	1	NaN	'7'
155.72	1.381	2	1	28	'8_dot'
157.226	1.382	2	1	28	'5_dot'
158.733	1.382	2	1	NaN	'3'
160.242	1.381	2	1	NaN	'6'
161.746	1.382	2	1	NaN	'2'
163.256	1.382	2	1	NaN	'4'
164.767	1.379	1	1	NaN	'3f'
166.273	1.379	1	1	28	'5s_dot'
167.776	1.38	1	1	NaN	'6d'
169.279	1.379	1	1	28	'1h_dot'
170.782	1.38	1	1	NaN	'8s'
172.288	1.38	1	1	NaN	'2f'
173.793	1.38	1	1	28	'7d_dot'
175.298	1.379	1	1	28	'4h_dot'
176.827	1.375	2	0	28	'3_dot'
178.342	1.375	2	0	NaN	'7'
179.864	1.375	2	0	28	'1_dot'
181.388	1.375	2	0	28	'2_dot'
182.904	1.375	2	0	NaN	'5'
184.427	1.375	2	0	NaN	'8'
185.949	1.375	2	0	NaN	'4'
187.481	1.375	2	0	28	'6_dot'
189.002	1.375	2	0	NaN	'8'
190.52	1.375	2	0	NaN	'4'
192.044	1.375	2	0	NaN	'2'
193.569	1.375	2	0	NaN	'6'
195.085	1.375	2	0	NaN	'7'
196.605	1.375	2	0	NaN	'3'
198.131	1.375	2	0	NaN	'1'
199.651	1.375	2	0	NaN	'5'
