onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.23300000000001	1.385	2	1	28	'4'
8.75600000000001	1.381	2	1	NaN	'6'
10.276	1.381	2	1	28	'2_dot'
11.792	1.382	2	1	28	'7_dot'
13.301	1.382	2	1	28	'3_dot'
14.808	1.382	2	1	NaN	'8'
16.319	1.382	2	1	NaN	'5'
17.831	1.382	2	1	28	'1_dot'
19.481	1.375	1	0	28	'4s_dot'
21.022	1.375	1	0	28	'3f_dot'
22.557	1.375	1	0	NaN	'8s'
24.084	1.375	1	0	NaN	'1d'
25.611	1.375	1	0	NaN	'5h'
27.138	1.375	1	0	NaN	'2f'
28.667	1.375	1	0	NaN	'6d'
30.198	1.375	1	0	28	'7h_dot'
31.711	1.382	2	1	NaN	'7'
33.222	1.38	2	1	28	'6_dot'
34.729	1.381	2	1	28	'3'
36.243	1.382	2	1	28	'8_dot'
37.751	1.381	2	1	NaN	'5'
39.257	1.381	2	1	NaN	'4'
40.762	1.381	2	1	28	'1_dot'
42.268	1.381	2	1	NaN	'2'
43.779	1.381	2	1	NaN	'8'
45.285	1.381	2	1	NaN	'2'
46.791	1.381	2	1	NaN	'3'
48.299	1.381	2	1	NaN	'1'
49.807	1.382	2	1	NaN	'6'
51.316	1.381	2	1	28	'5_dot'
52.822	1.382	2	1	NaN	'4'
54.332	1.38	2	1	NaN	'7'
55.842	1.38	1	1	28	'6s_dot'
57.35	1.38	1	1	NaN	'3d'
58.856	1.38	1	1	NaN	'7h'
60.364	1.379	1	1	28	'8s_dot'
61.872	1.38	1	1	NaN	'5h'
63.38	1.379	1	1	NaN	'1f'
64.888	1.379	1	1	28	'2d_dot'
66.396	1.378	1	1	28	'4f_dot'
67.904	1.382	2	1	28	'5_dot'
69.42	1.382	2	1	NaN	'2'
70.933	1.38	2	1	28	'1_dot'
72.44	1.383	2	1	NaN	'7'
73.946	1.381	2	1	28	'6_dot'
75.454	1.382	2	1	NaN	'8'
76.963	1.382	2	1	NaN	'3'
78.47	1.381	2	1	NaN	'4'
79.996	1.375	2	0	NaN	'7'
81.529	1.375	2	0	28	'3_dot'
83.057	1.375	2	0	NaN	'1'
84.589	1.375	2	0	28	'8_dot'
86.119	1.375	2	0	28	'5_dot'
87.647	1.375	2	0	NaN	'4'
89.179	1.375	2	0	28	'2_dot'
90.707	1.375	2	0	NaN	'6'
92.218	1.378	1	1	NaN	'6d'
93.726	1.38	1	1	28	'1f_dot'
95.234	1.38	1	1	28	'5h_dot'
96.739	1.379	1	1	NaN	'3f'
98.244	1.379	1	1	28	'7s_dot'
99.744	1.38	1	1	NaN	'2d'
101.251	1.38	1	1	NaN	'8h'
102.759	1.379	1	1	NaN	'4s'
104.291	1.375	2	0	NaN	'3'
105.808	1.375	2	0	NaN	'7'
107.328	1.375	2	0	NaN	'1'
108.855	1.375	2	0	NaN	'8'
110.382	1.375	2	0	NaN	'4'
111.913	1.375	2	0	NaN	'5'
113.43	1.375	2	0	NaN	'6'
114.952	1.375	2	0	28	'2_dot'
116.48	1.375	1	0	NaN	'6f'
118.007	1.375	1	0	NaN	'1h'
119.535	1.375	1	0	NaN	'4f'
121.066	1.375	1	0	28	'3s_dot'
122.596	1.375	1	0	NaN	'8h'
124.126	1.375	1	0	28	'7s_dot'
125.655	1.375	1	0	NaN	'2d'
127.182	1.375	1	0	NaN	'5d'
128.71	1.375	1	0	28	'5s_dot'
130.226	1.375	1	0	NaN	'2f'
131.753	1.375	1	0	28	'6s_dot'
133.276	1.375	1	0	NaN	'4d'
134.801	1.375	1	0	NaN	'8h'
136.329	1.375	1	0	NaN	'7d'
137.852	1.375	1	0	NaN	'1f'
139.374	1.375	1	0	NaN	'3h'
140.897	1.375	2	0	28	'8_dot'
142.422	1.375	2	0	NaN	'1'
143.94	1.375	2	0	NaN	'3'
145.459	1.375	2	0	NaN	'7'
146.986	1.375	2	0	NaN	'2'
148.517	1.375	2	0	28	'4_dot'
150.039	1.375	2	0	NaN	'5'
151.556	1.375	2	0	NaN	'6'
153.067	1.38	1	1	NaN	'8f'
154.574	1.38	1	1	NaN	'3f'
156.08	1.378	1	1	28	'6h_dot'
157.583	1.38	1	1	NaN	'7s'
159.087	1.379	1	1	NaN	'5d'
160.593	1.379	1	1	NaN	'1s'
162.098	1.38	1	1	NaN	'2d'
163.589	1.379	1	1	NaN	'4h'
165.113	1.376	2	0	NaN	'3'
166.637	1.375	2	0	NaN	'5'
168.169	1.375	2	0	28	'7_dot'
169.693	1.375	2	0	NaN	'4'
171.213	1.375	2	0	28	'2_dot'
172.732	1.375	2	0	NaN	'8'
174.263	1.375	2	0	28	'1_dot'
175.785	1.375	2	0	NaN	'6'
177.315	1.375	1	0	NaN	'4s'
178.844	1.375	1	0	NaN	'5f'
180.36	1.375	1	0	NaN	'8h'
181.883	1.375	1	0	28	'6d_dot'
183.408	1.375	1	0	28	'3d_dot'
184.936	1.375	1	0	NaN	'7f'
186.462	1.375	1	0	NaN	'1s'
187.995	1.375	1	0	28	'2h_dot'
189.505	1.38	1	1	NaN	'8d'
191.013	1.38	1	1	NaN	'6f'
192.52	1.38	1	1	NaN	'4s'
194.026	1.38	1	1	28	'5s_dot'
195.533	1.38	1	1	28	'1d_dot'
197.04	1.38	1	1	28	'7h_dot'
198.547	1.379	1	1	NaN	'3h'
200.053	1.38	1	1	NaN	'2f'
