onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.219	1.901	2	5	4	NaN	F028_surprise_cars0001-0057_half.avi
9.652	1.907	2	5	3	NaN	F028_surprise_antimcars0001-0057_half.avi
12.053	2.009	2	5	0	NaN	NULL
14.606	1.911	2	5	2	NaN	F028_surprise_antim_anticars0001-0057_half.avi
17.007	2.01	2	5	5	28	TARGET
19.563	1.909	2	5	1	NaN	F028_surprise_anticars0001-0057_half.avi
21.99	1.91	2	5	1	28	F028_surprise_anticars0001-0057_half.avi
24.418	1.909	2	5	3	NaN	F028_surprise_antimcars0001-0057_half.avi
26.845	1.91	2	5	4	NaN	F028_surprise_cars0001-0057_half.avi
29.247	2.01000000000001	2	5	5	28	TARGET
31.8	1.90900000000001	2	5	2	NaN	F028_surprise_antim_anticars0001-0057_half.avi
34.202	2.00899999999999	2	5	0	NaN	NULL
36.73	2.009	2	5	0	NaN	NULL
39.258	2.01	2	5	5	28	TARGET
41.812	1.908	2	5	3	NaN	F028_surprise_antimcars0001-0057_half.avi
44.234	1.904	2	5	1	NaN	F028_surprise_anticars0001-0057_half.avi
46.662	1.90900000000001	2	5	4	NaN	F028_surprise_cars0001-0057_half.avi
49.087	1.907	2	5	2	NaN	F028_surprise_antim_anticars0001-0057_half.avi
51.515	1.908	2	5	2	NaN	F028_surprise_antim_anticars0001-0057_half.avi
53.939	1.905	2	5	4	NaN	F028_surprise_cars0001-0057_half.avi
56.369	1.90899999999999	2	5	1	NaN	F028_surprise_anticars0001-0057_half.avi
58.772	2.009	2	5	0	NaN	NULL
61.328	1.91	2	5	3	NaN	F028_surprise_antimcars0001-0057_half.avi
63.732	2.01000000000001	2	5	5	28	TARGET
66.263	2.00999999999999	2	5	5	28	TARGET
68.824	1.90899999999999	2	5	4	NaN	F028_surprise_cars0001-0057_half.avi
71.23	2.009	2	5	0	NaN	NULL
73.784	1.908	2	5	1	NaN	F028_surprise_anticars0001-0057_half.avi
76.21	1.904	2	5	2	NaN	F028_surprise_antim_anticars0001-0057_half.avi
78.635	1.907	2	5	3	NaN	F028_surprise_antimcars0001-0057_half.avi
81.064	1.90600000000001	2	5	3	NaN	F028_surprise_antimcars0001-0057_half.avi
83.494	1.90799999999999	2	5	2	NaN	F028_surprise_antim_anticars0001-0057_half.avi
85.922	1.90600000000001	2	5	1	NaN	F028_surprise_anticars0001-0057_half.avi
88.328	2.009	2	5	5	28	TARGET
90.86	2.009	2	5	0	NaN	NULL
93.411	1.90300000000001	2	5	4	NaN	F028_surprise_cars0001-0057_half.avi
95.82	2.009	4	5	5	28	TARGET
98.378	1.90899999999999	4	5	2	NaN	M002_surprise_antim_anticars0001-0057_half.avi
100.782	2.01000000000001	4	5	0	NaN	NULL
103.337	1.905	4	5	4	NaN	M002_surprise_cars0001-0057_half.avi
105.766	1.90600000000001	4	5	3	NaN	M002_surprise_antimcars0001-0057_half.avi
108.193	1.90299999999999	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
110.616	1.90299999999999	4	5	1	NaN	M002_surprise_anticars0001-0057_half.avi
113.045	1.905	4	5	2	NaN	M002_surprise_antim_anticars0001-0057_half.avi
115.453	2.00899999999999	4	5	5	28	TARGET
