onset	duration	face_or_object	dyn_or_static	button_pushed	stim_name
7.232	1.387	2	1	28	'3_dot'
8.742	1.382	2	1	28	'6'
10.253	1.381	2	1	NaN	'7'
11.763	1.382	2	1	28	'2_dot'
13.272	1.381	2	1	28	'8_dot'
14.776	1.382	2	1	NaN	'1'
16.284	1.383	2	1	NaN	'4'
17.795	1.382	2	1	NaN	'5'
19.307	1.381	2	1	NaN	'6'
20.801	1.381	2	1	NaN	'4'
22.307	1.382	2	1	28	'5_dot'
23.816	1.382	2	1	28	'3_dot'
25.325	1.381	2	1	28	'2_dot'
26.832	1.382	2	1	NaN	'8'
28.341	1.381	2	1	NaN	'1'
29.849	1.381	2	1	28	'7_dot'
31.361	1.38	1	1	NaN	'5h'
32.872	1.379	1	1	28	'7f_dot'
34.379	1.379	1	1	28	'8h_dot'
35.884	1.379	1	1	NaN	'1s'
37.389	1.38	1	1	NaN	'4d'
38.894	1.38	1	1	28	'6f_dot'
40.4	1.379	1	1	NaN	'2s'
41.906	1.38	1	1	NaN	'3d'
43.457	1.375	2	0	NaN	'3'
44.985	1.375	2	0	28	'5_dot'
46.511	1.375	2	0	28	'7_dot'
48.038	1.375	2	0	NaN	'8'
49.568	1.375	2	0	28	'4_dot'
51.098	1.375	2	0	NaN	'6'
52.628	1.375	2	0	28	'2_dot'
54.156	1.375	2	0	NaN	'1'
55.689	1.375	2	0	28	'4_dot'
57.217	1.375	2	0	28	'7_dot'
58.746	1.375	2	0	NaN	'6'
60.271	1.376	2	0	NaN	'3'
61.795	1.375	2	0	28	'2_dot'
63.317	1.375	2	0	28	'8_dot'
64.841	1.375	2	0	NaN	'1'
66.369	1.375	2	0	28	'5_dot'
67.897	1.375	1	0	NaN	'8s'
69.425	1.375	1	0	NaN	'3s'
70.946	1.375	1	0	NaN	'2f'
72.465	1.375	1	0	NaN	'6h'
73.989	1.375	1	0	NaN	'7f'
75.509	1.375	1	0	28	'5d_dot'
77.026	1.375	1	0	NaN	'4d'
78.546	1.375	1	0	NaN	'1h'
80.056	1.38	1	1	NaN	'8d'
81.557	1.38	1	1	28	'1h_dot'
83.063	1.379	1	1	28	'7d_dot'
84.568	1.38	1	1	NaN	'5f'
86.074	1.379	1	1	NaN	'6s'
87.58	1.38	1	1	28	'2s_dot'
89.087	1.379	1	1	NaN	'4h'
90.594	1.38	1	1	NaN	'3f'
92.104	1.379	1	1	28	'4h_dot'
93.608	1.38	1	1	28	'3d_dot'
95.111	1.38	1	1	28	'2d_dot'
96.614	1.38	1	1	NaN	'6h'
98.12	1.38	1	1	NaN	'7f'
99.627	1.38	1	1	28	'8s_dot'
101.132	1.379	1	1	NaN	'5s'
102.637	1.38	1	1	NaN	'1f'
104.165	1.375	1	0	28	'4s_dot'
105.685	1.375	1	0	NaN	'3f'
107.204	1.375	1	0	NaN	'5d'
108.727	1.375	1	0	28	'6s_dot'
110.257	1.375	1	0	28	'1f_dot'
111.779	1.375	1	0	NaN	'2h'
113.298	1.375	1	0	28	'7d_dot'
114.821	1.375	1	0	28	'8h_dot'
116.348	1.375	1	0	NaN	'1d'
117.874	1.375	1	0	NaN	'6s'
119.384	1.375	1	0	28	'4h_dot'
120.908	1.375	1	0	28	'7f_dot'
122.431	1.375	1	0	NaN	'5h'
123.956	1.375	1	0	NaN	'2f'
125.474	1.375	1	0	NaN	'8s'
126.997	1.375	1	0	28	'3d_dot'
128.527	1.375	1	0	28	'3h_dot'
130.053	1.375	1	0	NaN	'2s'
131.57	1.375	1	0	NaN	'6f'
133.092	1.375	1	0	NaN	'5d'
134.618	1.375	1	0	28	'4h_dot'
136.146	1.375	1	0	NaN	'7s'
137.665	1.375	1	0	NaN	'1d'
139.186	1.375	1	0	NaN	'8f'
140.693	1.382	2	1	NaN	'1'
142.204	1.382	2	1	NaN	'2'
143.712	1.382	2	1	NaN	'3'
145.222	1.382	2	1	NaN	'4'
146.73	1.382	2	1	28	'7_dot'
148.236	1.382	2	1	28	'8_dot'
149.745	1.382	2	1	NaN	'6'
151.254	1.382	2	1	NaN	'5'
152.765	1.382	2	1	NaN	'1'
154.272	1.381	2	1	NaN	'7'
155.78	1.382	2	1	28	'8_dot'
157.288	1.382	2	1	28	'5_dot'
158.79	1.381	2	1	NaN	'3'
160.297	1.381	2	1	NaN	'6'
161.804	1.382	2	1	NaN	'2'
163.304	1.381	2	1	NaN	'4'
164.813	1.38	1	1	NaN	'3f'
166.32	1.38	1	1	28	'5s_dot'
167.826	1.38	1	1	NaN	'6d'
169.323	1.38	1	1	28	'1h_dot'
170.828	1.38	1	1	NaN	'8s'
172.335	1.38	1	1	NaN	'2f'
173.842	1.38	1	1	28	'7d_dot'
175.34	1.38	1	1	28	'4h_dot'
176.867	1.375	2	0	28	'3_dot'
178.388	1.375	2	0	NaN	'7'
179.914	1.375	2	0	28	'1_dot'
181.434	1.375	2	0	28	'2_dot'
182.952	1.375	2	0	NaN	'5'
184.477	1.375	2	0	NaN	'8'
185.995	1.375	2	0	NaN	'4'
187.515	1.375	2	0	28	'6_dot'
189.039	1.375	2	0	NaN	'8'
190.562	1.375	2	0	NaN	'4'
192.081	1.375	2	0	NaN	'2'
193.602	1.375	2	0	NaN	'6'
195.127	1.375	2	0	NaN	'7'
196.649	1.375	2	0	NaN	'3'
198.169	1.375	2	0	NaN	'1'
199.691	1.375	2	0	NaN	'5'
