onset	duration	identity	expression	caric_cond	button_pushed	stim_name
7.219	1.901	1	5	2	NaN	F024_surprise_antim_anticars0001-0057_half.avi
9.654	1.904	1	5	3	NaN	F024_surprise_antimcars0001-0057_half.avi
12.08	1.909	1	5	1	NaN	F024_surprise_anticars0001-0057_half.avi
14.501	1.906	1	5	4	NaN	F024_surprise_cars0001-0057_half.avi
16.902	2.012	1	5	5	28	TARGET
19.434	2.012	1	5	0	NaN	NULL
21.964	2.009	1	5	0	NaN	NULL
24.507	1.901	1	5	3	NaN	F024_surprise_antimcars0001-0057_half.avi
26.931	1.908	1	5	2	NaN	F024_surprise_antim_anticars0001-0057_half.avi
29.331	2.009	1	5	5	28	TARGET
31.881	1.905	1	5	4	NaN	F024_surprise_cars0001-0057_half.avi
34.306	1.908	1	5	1	NaN	F024_surprise_anticars0001-0057_half.avi
36.729	1.905	1	5	1	NaN	F024_surprise_anticars0001-0057_half.avi
39.13	2.01	1	5	5	28	TARGET
41.687	1.91	1	5	3	NaN	F024_surprise_antimcars0001-0057_half.avi
44.088	2.011	1	5	0	NaN	NULL
46.643	1.90700000000001	1	5	2	NaN	F024_surprise_antim_anticars0001-0057_half.avi
49.071	1.91	1	5	4	NaN	F024_surprise_cars0001-0057_half.avi
51.497	1.90700000000001	1	5	4	NaN	F024_surprise_cars0001-0057_half.avi
53.921	1.90600000000001	1	5	2	NaN	F024_surprise_antim_anticars0001-0057_half.avi
56.324	2.01000000000001	1	5	0	NaN	NULL
58.879	1.90900000000001	1	5	1	NaN	F024_surprise_anticars0001-0057_half.avi
61.305	1.90499999999999	1	5	3	NaN	F024_surprise_antimcars0001-0057_half.avi
63.707	2.009	1	5	5	28	TARGET
66.239	2.01000000000001	1	5	5	28	TARGET
68.795	1.90599999999999	1	5	2	NaN	F024_surprise_antim_anticars0001-0057_half.avi
71.222	1.90600000000001	1	5	1	NaN	F024_surprise_anticars0001-0057_half.avi
73.627	2.009	1	5	0	NaN	NULL
76.181	1.90799999999999	1	5	4	NaN	F024_surprise_cars0001-0057_half.avi
78.608	1.90600000000001	1	5	3	NaN	F024_surprise_antimcars0001-0057_half.avi
81.039	1.91	1	5	3	NaN	F024_surprise_antimcars0001-0057_half.avi
83.47	1.90899999999999	1	5	4	NaN	F024_surprise_cars0001-0057_half.avi
85.877	2.009	1	5	0	NaN	NULL
88.409	2.00999999999999	1	5	5	28	TARGET
90.964	1.90300000000001	1	5	1	NaN	F024_surprise_anticars0001-0057_half.avi
93.392	1.90600000000001	1	5	2	NaN	F024_surprise_antim_anticars0001-0057_half.avi
95.822	1.905	3	3	1	NaN	F036_fear_anticars0001-0057_half.avi
98.25	1.904	3	3	3	NaN	F036_fear_antimcars0001-0057_half.avi
100.657	2.00899999999999	3	3	0	NaN	NULL
103.214	1.90700000000001	3	3	4	NaN	F036_fear_cars0001-0057_half.avi
105.642	1.90600000000001	3	3	2	NaN	F036_fear_antim_anticars0001-0057_half.avi
108.049	2.00800000000001	3	3	5	28	TARGET
110.583	2.01000000000002	3	3	5	28	TARGET
113.143	1.91	3	3	3	NaN	F036_fear_antimcars0001-0057_half.avi
115.576	1.90800000000002	3	3	1	NaN	F036_fear_anticars0001-0057_half.avi
118.008	1.90899999999999	3	3	2	NaN	F036_fear_antim_anticars0001-0057_half.avi
120.439	1.90600000000001	3	3	4	NaN	F036_fear_cars0001-0057_half.avi
122.847	2.00899999999999	3	3	0	NaN	NULL
125.382	2.00899999999999	3	3	0	NaN	NULL
127.939	1.90700000000001	3	3	2	NaN	F036_fear_antim_anticars0001-0057_half.avi
130.365	1.90299999999999	3	3	3	NaN	F036_fear_antimcars0001-0057_half.avi
132.772	2.01000000000002	3	3	5	28	TARGET
135.328	1.90100000000001	3	3	1	NaN	F036_fear_anticars0001-0057_half.avi
